IsLa [A],IsLb [A],IsLc [A]
96.943775,-124.94176,27.997985
115.74581,-110.33268,-5.4131282
122.14347,-77.121,-45.022471
129.11788,-41.274824,-87.843052
121.45316,-8.7248608,-112.7283
93.360231,28.111406,-121.47164
56.416724,71.986973,-128.4037
23.651151,103.19391,-126.84506
-10.995658,116.33888,-105.34322
-53.057095,122.65343,-69.596339
-90.881195,126.2211,-35.339904
-109.95216,111.98555,-2.0333939
-117.14762,79.634515,37.5131
-122.93118,43.495329,79.435854
-115.54949,10.896096,104.65339
-88.394388,-26.164433,114.55882
-51.542271,-68.896173,120.43844
-18.728049,-99.962923,118.69097
15.969844,-113.88522,97.915372
57.076339,-119.59465,62.518313
93.905327,-122.47842,28.573091
113.26345,-108.70118,-4.5622786
120.44057,-76.761171,-43.679395
125.53074,-41.085744,-84.444992
118.43901,-8.4867296,-109.95228
91.575536,28.858877,-120.43441
54.994456,70.459396,-125.45385
21.939613,101.81335,-123.75297
-13.369854,116.4602,-103.09035
-53.664178,121.42688,-67.762706
-90.30122,123.89845,-33.597234
-110.10501,110.14355,-0.038538781
-116.86493,78.295029,38.569904
-121.54037,43.063179,78.477189
-114.48949,10.052661,104.43683
-87.844919,-27.256369,115.10129
-52.061661,-67.67605,119.73771
-18.692021,-99.431531,118.12355
16.973672,-114.56577,97.592095
56.179019,-119.21179,63.032775
92.598403,-121.47095,28.872545
112.69063,-107.51806,-5.17257
119.0647,-76.184277,-42.880423
123.51189,-41.401617,-82.110278
116.04016,-7.9531887,-108.08697
89.629119,28.850205,-118.47932
54.633233,68.458113,-123.09135
20.650384,100.56509,-121.21548
-15.135906,115.80606,-100.67015
-53.707969,120.61434,-66.906373
-90.317263,122.43936,-32.122101
-110.60584,108.19191,2.4139252
-117.10613,77.555276,39.550849
-121.10108,42.553066,78.548019
-113.01737,8.588378,104.42899
-87.212348,-27.473005,114.68535
-52.699828,-66.556682,119.25651
-18.315463,-98.557335,116.8728
17.044096,-113.81516,96.771064
55.249803,-119.0751,63.825293
91.629957,-120.27693,28.64697
111.94235,-106.10195,-5.8403991
119.04394,-76.289106,-42.754833
122.27876,-40.937002,-81.341761
113.76133,-6.800514,-106.96082
88.587941,28.813284,-117.40123
54.011221,67.543211,-121.55443
19.485368,99.095321,-118.58069
-15.439748,114.4168,-98.97705
-53.623035,119.91068,-66.287642
-89.655818,120.48259,-30.826773
-110.15644,106.62115,3.5352954
-117.99179,77.262134,40.729651
-120.30256,41.50204,78.800518
-111.78274,7.3626419,104.4201
-87.109126,-28.387404,115.49653
-52.253817,-66.615494,118.86931
-17.924685,-97.604339,115.52902
16.791584,-113.22385,96.432264
54.70503,-118.44833,63.7433
89.990941,-118.6431,28.652163
110.78356,-105.2229,-5.5606556
119.01709,-76.009264,-43.007825
120.62639,-40.374177,-80.252213
112.38683,-6.3236743,-106.06316
87.819104,29.929688,-117.74879
52.874126,67.449298,-120.32342
18.667823,98.230964,-116.89879
-16.334229,114.1997,-97.865474
-53.757779,118.7764,-65.018617
-88.438089,118.83463,-30.396542
-109.58126,105.56067,4.0205899
-117.71999,76.266178,41.453813
-119.06164,41.128909,77.932735
-111.08544,6.8359215,104.24951
-86.424401,-29.843543,116.26794
-51.844309,-66.619132,118.46344
-17.558832,-97.478225,115.03706
17.910962,-113.73195,95.820989
54.597253,-117.81618,63.21893
88.875009,-117.7865,28.91149
110.1066,-104.28608,-5.8205227
117.82104,-75.140211,-42.680825
119.21169,-40.644618,-78.567069
111.22671,-5.9913956,-105.23532
86.526342,30.692075,-117.21842
52.560205,66.975645,-119.53585
17.864367,98.058721,-115.92309
-17.941505,114.36056,-96.419055
-54.122503,118.45869,-64.336183
-88.334927,118.13076,-29.795838
-109.45363,104.14859,5.3050365
-116.86971,75.408744,41.460963
-118.22139,41.160725,77.060666
-109.95031,6.1737492,103.77656
-85.558099,-30.076052,115.63415
-52.09391,-66.219392,118.3133
-16.911555,-97.391839,114.30339
18.792717,-113.63338,94.840663
54.874323,-118.25726,63.382938
88.92814,-117.28516,28.357024
109.81179,-103.0157,-6.796089
117.38781,-74.865013,-42.522797
118.2997,-40.398351,-77.901346
109.6551,-5.4288566,-104.22624
85.787873,30.276285,-116.06416
52.427574,66.435328,-118.8629
17.056756,97.39949,-114.45625
-18.367308,113.69759,-95.330286
-54.741958,118.90839,-64.166436
-88.488596,117.15771,-28.669115
-109.31084,102.97324,6.3376014
-117.43097,75.207913,42.223052
-117.55416,40.260803,77.29336
-108.70828,5.5073755,103.2009
-85.318956,-29.970488,115.28944
-51.702833,-65.984849,117.68768
-16.613543,-96.45163,113.06517
18.576161,-113.02168,94.445515
55.244754,-118.48325,63.238501
88.437778,-116.1584,27.720619
109.46457,-102.36761,-7.0969581
118.11447,-74.655075,-43.459397
117.4672,-39.485541,-77.98166
108.69483,-4.964363,-103.73047
85.425759,30.718967,-116.14473
51.524315,66.292387,-117.8167
16.904962,96.281917,-113.18688
-18.330144,113.15283,-94.822689
-54.947873,118.34281,-63.39494
-87.574407,115.84952,-28.275117
-109.10832,102.45145,6.6568775
-117.94058,74.52338,43.417201
-116.92393,39.53263,77.391299
-108.29304,4.9609052,103.33213
-84.820901,-31.143908,115.96481
-50.978312,-66.121836,117.10015
-16.584104,-95.891583,112.47569
18.900803,-112.89659,93.995791
54.97486,-117.54236,62.567497
87.188931,-115.13843,27.949496
109.15262,-101.89378,-7.25884
117.82183,-73.861156,-43.96067
116.93452,-39.340637,-77.593885
108.26993,-4.4063454,-103.86359
84.519407,31.923922,-116.44333
51.101288,66.470614,-117.5719
16.461061,96.282884,-112.74395
-19.266027,113.15373,-93.887706
-54.664016,117.43394,-62.76992
-86.707517,114.99447,-28.286958
-108.76852,101.61193,7.1565894
-117.18663,73.806845,43.379783
-116.6076,39.627779,76.979818
-107.72028,4.2040288,103.51625
-83.971629,-31.961136,115.93276
-51.031063,-66.491411,117.52247
-15.822916,-96.341671,112.16459
19.885672,-112.97218,93.086507
54.910077,-117.39443,62.484353
86.866079,-114.5157,27.64962
108.62321,-100.88344,-7.7397716
116.97164,-73.593237,-43.3784
116.43161,-39.379261,-77.052348
107.29547,-3.7760111,-103.51946
83.915722,31.998769,-115.91449
51.168155,66.82859,-117.99674
15.442321,96.541416,-111.98374
-20.009703,113.0644,-93.054693
-55.189958,117.97985,-62.789892
-86.958102,114.33783,-27.379729
-108.36104,100.6149,7.7461334
-116.92336,73.7881,43.135257
-115.9045,39.172015,76.732489
-106.65189,3.806899,102.84499
-83.823814,-31.65004,115.47385
-50.895662,-66.776117,117.67178
-15.05989,-96.133145,111.19304
20.143723,-112.87471,92.730984
55.786026,-118.23798,62.451953
87.163753,-113.86848,26.704724
108.47421,-100.31585,-8.1583591
117.35068,-73.638137,-43.712545
115.57331,-38.624699,-76.948612
106.37956,-3.6845107,-102.69504
83.897665,31.722503,-115.62017
50.641406,66.777471,-117.41888
15.144143,95.69985,-110.84399
-20.081898,112.96693,-92.885029
-56.060307,118.38785,-62.327544
-87.022831,113.68107,-26.658241
-108.5976,100.37782,8.2197856
-117.63005,73.494484,44.135565
-115.3095,38.441125,76.868377
-106.18369,3.6690837,102.5146
-83.656925,-31.919822,115.57675
-50.28157,-66.47154,116.75311
-15.189427,-95.093788,110.28321
20.25064,-112.85034,92.599695
56.120099,-117.98863,61.86853
86.850645,-113.41785,26.567209
108.87335,-100.20657,-8.6667797
117.77331,-73.040793,-44.732521
115.44382,-38.340323,-77.103498
106.18805,-3.2817994,-102.90625
83.360694,32.467571,-115.82826
50.231987,66.386746,-116.61873
15.188558,94.918531,-110.10709
-20.422584,112.80788,-92.385298
-55.771831,117.60741,-61.835576
-86.51301,113.30538,-26.792371
-108.91999,100.00584,8.9141542
-117.5722,72.831393,44.740803
-115.65443,38.529681,77.124748
-105.96962,2.8594807,103.11014
-82.961197,-32.807923,115.76912
-50.308401,-66.394374,116.70278
-14.820006,-94.934917,109.75492
20.720719,-112.57481,91.854091
55.479228,-117.27672,61.797491
86.332803,-112.94758,26.614778
108.77183,-99.491432,-9.2804016
117.3514,-72.715114,-44.636283
115.84901,-38.536675,-77.312339
105.61042,-2.3129661,-103.29745
82.797332,33.037001,-115.83433
50.468397,66.763986,-117.23238
14.336664,95.216896,-109.55356
-20.91298,112.54256,-91.629578
-55.410409,117.45055,-62.040143
-86.22827,112.59551,-26.367242
-108.38882,99.066313,9.3225045
-117.17742,72.885232,44.292184
-115.68513,38.450046,77.235086
-105.05845,2.0783738,102.98008
-82.77138,-32.976908,115.74829
-50.395845,-67.123153,117.519
-13.856871,-95.297128,109.154
21.121195,-112.58302,91.461824
55.757525,-117.79966,62.042139
86.281563,-112.18029,25.898724
108.15176,-98.725573,-9.4261879
117.24158,-72.953134,-44.288443
115.26407,-38.104097,-77.15997
104.57035,-2.0298539,-102.5405
82.872722,32.988408,-115.86113
50.185672,67.405452,-117.59112
13.673794,95.243839,-108.91763
-21.308883,112.85973,-91.550851
-56.244636,118.18729,-61.942655
-86.324403,112.03608,-25.711679
-108.17076,98.678174,9.4925866
-117.39688,72.911833,44.485042
-114.7652,37.872681,76.892515
-104.15739,2.1364856,102.02091
-82.812418,-33.046742,115.85916
-49.903046,-67.313205,117.21625
-13.711638,-94.965441,108.67708
21.62574,-113.11815,91.492412
56.644635,-118.24446,61.59982
86.400924,-112.08648,25.685551
108.49618,-98.649569,-9.8466108
117.57642,-72.626849,-44.949575
114.57264,-37.799771,-76.772871
103.90207,-2.0400136,-101.86206
82.565044,33.282985,-115.84803
49.795039,67.022165,-116.8172
13.822047,94.686758,-108.5088
-21.975863,113.29254,-91.316682
-56.694163,118.11509,-61.42093
-86.458683,112.32874,-25.870058
-108.83769,98.539416,10.298273
-117.6318,72.36078,45.271025
-114.78647,37.998391,76.78808
-103.68419,1.7345579,101.94963
-82.189348,-33.512534,115.70188
-49.892129,-66.680368,116.5725
-13.718094,-94.467079,108.18517
22.283609,-113.14823,90.864621
56.482681,-117.86579,61.383106
86.517989,-112.43601,25.918019
108.97637,-98.158693,-10.817679
117.64006,-72.198089,-45.441968
115.23731,-38.161894,-77.07542
103.44026,-1.2130813,-102.22718
81.943896,33.746065,-115.68996
