IsLa [A],IsLb [A],IsLc [A]
112.00159,-138.91567,26.914073
133.49857,-122.61836,-10.880213
138.07229,-84.482348,-53.589942
140.97176,-41.47219,-99.499571
131.85859,-3.6142807,-128.24431
100.4416,36.79822,-137.23982
56.509883,83.33066,-139.84054
17.423921,118.87634,-136.30026
-21.332013,133.97137,-112.63936
-66.310725,137.08375,-70.773028
-107.46979,136.97334,-29.50355
-129.52404,121.22283,8.301203
-135.25603,84.375451,50.880579
-136.36122,40.972795,95.388426
-127.50291,3.0964023,124.40651
-97.261323,-37.46667,134.72799
-53.473087,-82.675814,136.1489
-14.267853,-117.97846,132.24632
24.746129,-134.08441,109.33829
68.860934,-136.82215,67.961218
109.06999,-135.67586,26.605868
131.81853,-120.28085,-11.537676
137.82887,-83.963735,-53.865131
137.66659,-40.730867,-96.935722
128.88405,-2.4535099,-126.43054
99.099645,38.370638,-137.47028
55.760887,82.114321,-137.87521
16.197301,117.54799,-133.74529
-23.452502,134.49789,-111.04539
-66.483359,136.74575,-70.262396
-106.26888,135.08826,-28.819382
-129.73938,119.55146,10.187916
-135.68745,83.739886,51.947559
-135.04828,41.011371,94.036909
-125.82787,1.7881103,124.03976
-96.460079,-38.874039,135.33412
-54.155504,-81.328504,135.48401
-13.795722,-116.9702,130.76592
26.110698,-134.33518,108.22449
67.92584,-136.57069,68.644849
107.53466,-134.36546,26.830803
131.31627,-118.45459,-12.861676
137.32362,-83.561495,-53.762127
136.40733,-41.089426,-95.317901
126.27064,-0.81699626,-125.45365
97.489651,39.302115,-136.79177
56.032092,81.091027,-137.12312
14.565027,116.6677,-131.23273
-25.189685,134.16099,-108.97131
-66.366181,136.94723,-70.581053
-105.74807,133.6862,-27.938126
-129.58484,117.59503,11.98981
-136.24209,83.848259,52.393829
-134.75677,41.131013,93.625754
-123.82805,0.26873111,123.55932
-95.932973,-39.380308,135.31328
-54.86622,-80.921391,135.78761
-12.701099,-115.97007,128.67117
26.702458,-133.72357,107.02111
67.703242,-137.16145,69.458206
106.38584,-132.59244,26.2066
130.27987,-116.7007,-13.579169
137.82242,-83.841539,-53.980879
135.32971,-40.775461,-94.554244
124.05665,0.12203836,-124.17869
96.831065,39.876612,-136.70768
55.720167,81.0724,-136.79257
13.42774,115.41697,-128.84471
-26.088026,133.76401,-107.67598
-67.088424,137.411,-70.322578
-104.79316,131.84301,-27.049851
-129.05432,116.20617,12.848155
-137.27693,83.72134,53.555586
-133.86328,40.735762,93.127518
-122.58813,-0.14555103,122.73368
-95.64431,-40.432078,136.07639
-54.733543,-80.847789,135.58133
-12.64746,-114.73241,127.37987
27.494401,-133.76344,106.26904
68.101683,-137.16801,69.066325
104.93434,-131.25947,26.325125
129.67891,-115.47572,-14.203185
138.02167,-83.119539,-54.902127
134.2499,-40.822714,-93.427181
122.73316,0.51109943,-123.24426
95.725203,41.234197,-136.9594
55.505554,80.684448,-136.19
13.336932,114.47758,-127.81451
-27.565903,133.90052,-106.33462
-67.495536,137.10845,-69.612919
-103.93704,131.19792,-27.260874
-129.00421,114.7771,14.227117
-137.20039,82.735289,54.4651
-133.67785,41.258364,92.419486
-121.41664,-0.94957512,122.36621
-94.491267,-41.615269,136.10654
-55.277377,-80.409103,135.68648
-12.552421,-114.16779,126.72022
28.657017,-133.57807,104.92105
67.99117,-137.11004,69.118866
104.29437,-130.98007,26.685703
129.23218,-113.805,-15.42718
137.53597,-82.420269,-55.1157
134.28422,-41.347045,-92.937178
121.01013,1.6007599,-122.61089
94.494154,41.892821,-136.38697
55.997702,80.55973,-136.55743
12.583303,114.00179,-126.58509
-28.490209,133.29447,-104.80426
-67.765674,137.57227,-69.806595
-103.79664,130.72378,-26.927144
-128.3724,113.15458,15.217822
-137.29683,82.463297,54.833529
-133.84303,41.276771,92.566261
-119.82728,-1.8498669,121.67714
-93.866806,-41.99487,135.86168
-55.565154,-80.758058,136.32321
-11.981079,-113.48662,125.4677
28.970823,-132.95271,103.98189
68.536953,-137.88363,69.346673
103.89691,-130.17667,26.279758
128.27758,-112.63251,-15.645073
137.94668,-82.261613,-55.685063
133.91376,-40.951767,-92.961997
119.6897,1.8813675,-121.57106
93.937579,42.457535,-136.39511
55.520411,81.081444,-136.60185
12.361723,113.04926,-125.41098
-28.967957,132.99056,-104.0226
-68.701629,138.04835,-69.346717
-103.23452,129.90335,-26.668834
-127.77662,112.38146,15.395165
-137.85846,81.900373,55.958083
-133.412,40.927221,92.484784
-119.24052,-1.7062372,120.94676
-93.247472,-42.987764,136.23524
-55.002459,-81.086735,136.08919
-12.36167,-112.65517,125.01684
29.752848,-133.01867,103.26582
69.166387,-137.80479,68.638407
103.13878,-129.862,26.723221
127.92388,-111.92479,-15.999095
137.96045,-81.29913,-56.661323
133.66069,-41.103912,-92.556776
119.24547,1.8593491,-121.10482
92.812617,43.566094,-136.37871
55.214912,81.084746,-136.29966
12.653571,112.6226,-125.27617
-30.136008,132.98829,-102.85229
-69.022713,137.66177,-68.639054
-102.88698,130.09518,-27.208194
-127.65511,111.38005,16.275064
-137.55799,80.965119,56.592871
-133.79724,41.466647,92.330591
-118.68017,-2.1554766,120.83565
-92.090594,-43.777432,135.86803
-55.254262,-81.127798,136.38206
-12.294558,-112.62915,124.92371
30.591907,-132.61433,102.02243
69.23834,-137.70448,68.466143
103.1637,-130.12205,26.958349
127.50985,-110.69266,-16.817196
