IsLa [A],IsLb [A],IsLc [A]
36.837343,-66.139658,29.302315
50.385999,-63.805706,13.419706
58.320515,-50.988406,-7.3321097
67.02893,-35.680504,-31.348426
68.138302,-20.763834,-47.374468
58.44918,-2.0670135,-56.382166
42.936466,21.976781,-64.913247
28.35259,40.938864,-69.291454
11.201478,52.042155,-63.243634
-11.48768,60.143864,-48.656184
-33.38994,67.177446,-33.787506
-47.023504,64.825466,-17.801962
-55.42661,52.491053,2.9355573
-63.487119,37.030662,26.456457
-64.506602,22.00354,42.503062
-55.229038,3.2461502,51.982888
-39.872052,-20.282421,60.154473
-25.207514,-38.956885,64.164398
-8.1407338,-50.265827,58.40656
14.114356,-58.319096,44.20474
35.455644,-64.79603,29.340386
49.123863,-62.549168,13.425305
57.733264,-50.613139,-7.1201256
65.21745,-35.200114,-30.017336
66.124365,-20.158919,-45.965446
57.102153,-1.373676,-55.728477
41.805809,21.706431,-63.512241
27.00508,40.146842,-67.151923
9.8604813,51.646737,-61.507218
-12.169823,59.593462,-47.423638
-33.142595,65.557197,-32.414601
-46.973285,63.381559,-16.408274
-55.796859,51.642419,4.1544401
-62.792249,36.202391,26.589858
-63.679801,21.062662,42.617139
-54.905364,2.1636719,52.741692
-39.730755,-20.443522,60.174277
-24.906469,-38.697939,63.604408
-7.7090291,-50.432268,58.141297
13.954108,-58.245936,44.291828
34.431716,-63.808769,29.377054
48.361643,-61.714772,13.353129
57.263652,-50.199159,-7.0644932
63.830378,-34.898532,-28.931846
64.655391,-19.707868,-44.947524
56.014699,-0.72431436,-55.290385
40.96648,21.40913,-62.375611
26.065686,39.521575,-65.587261
8.6947484,51.471294,-60.166042
-12.7186,59.126227,-46.407627
-32.861639,64.339796,-31.478157
-46.96493,62.262301,-15.29737
-55.92953,50.843929,5.0856011
-62.161865,35.658127,26.503738
-62.970239,20.322057,42.648182
-54.438021,1.220041,53.21798
-39.589922,-20.434055,60.023977
-24.660747,-38.455226,63.115973
-7.1329993,-50.626977,57.759977
13.911606,-58.129729,44.218123
33.685428,-63.085631,29.400204
47.890448,-60.998993,13.108545
56.824747,-49.719308,-7.105439
62.793664,-34.764493,-28.029171
63.529861,-19.296176,-44.233685
55.037997,-0.12890257,-54.909095
40.39886,21.063518,-61.462378
25.40099,39.02207,-64.42306
7.6422992,51.374705,-59.017004
-13.103102,58.736427,-45.633325
-32.655017,63.477204,-30.822187
-46.997419,61.313314,-14.315895
-55.881506,50.104696,5.7768099
-61.680291,35.357853,26.322438
-62.339447,19.674476,42.664971
-53.886407,0.4519249,53.434482
-39.512822,-20.307498,59.82032
-24.441344,-38.249788,62.691133
-6.5040501,-50.74486,57.24891
13.882421,-58.013271,44.13085
33.205784,-62.592806,29.387023
47.6199,-60.320722,12.700823
56.411293,-49.247911,-7.1633826
62.090579,-34.748698,-27.34188
62.61458,-18.876377,-43.738203
54.172754,0.34558835,-54.518343
40.074693,20.709894,-60.784587
24.875583,38.652875,-63.528458
6.7505521,51.231393,-57.981946
-13.34495,58.441868,-45.096918
-32.553452,62.887634,-30.334182
-47.040488,60.444638,-13.404149
-55.759596,49.498632,6.2609635
-61.370949,35.186848,26.1841
-61.736144,19.077645,42.6585
-53.330433,-0.10603527,53.436468
-39.533513,-20.142006,59.675519
-24.182351,-38.100826,62.283178
-5.9427691,-50.72354,56.66631
13.847363,-57.934057,44.086694
32.941849,-62.261876,29.320027
47.430697,-59.63641,12.205713
56.095183,-48.880427,-7.2147552
61.653054,-34.749512,-26.903543
61.807326,-18.434178,-43.373148
53.452167,0.64780569,-54.099973
39.931555,20.420788,-60.352344
24.399002,38.383008,-62.782011
6.062951,51.004648,-57.067599
-13.489913,58.260575,-44.770662
-32.543191,62.461936,-29.918745
-47.018766,59.628529,-12.609763
-55.68031,49.066359,6.6139509
-61.203895,35.04359,26.160305
-61.117479,18.505815,42.611664
-52.86159,-0.44038832,53.301978
-39.594456,-20.02544,59.619896
-23.875741,-37.978982,61.854723
-5.5205678,-50.577382,56.09795
13.826159,-57.934811,44.108653
32.810256,-61.987598,29.177342
47.227072,-58.967434,11.740362
55.928784,-48.645482,-7.2833019
61.404493,-34.694808,-26.709684
61.050173,-17.989025,-43.061148
52.914454,0.79546866,-53.709923
39.856421,20.244006,-60.100427
23.948812,38.158857,-62.107669
5.6086271,50.717587,-56.326214
-13.615409,58.206839,-44.59143
-32.548883,62.085894,-29.537011
-46.901488,58.886307,-11.984819
-55.708387,48.806231,6.9021558
-61.117526,34.849877,26.267648
-60.497743,17.996183,42.501561
-52.515701,-0.62942176,53.145123
-39.619433,-19.998196,59.617629
-23.551868,-37.833574,61.385442
-5.2783383,-50.370253,55.648591
13.868057,-58.01372,44.145663
32.708901,-61.692296,28.983394
46.97175,-58.362213,11.390464
55.931959,-48.530559,-7.4013995
61.237714,-34.54256,-26.695154
60.364895,-17.597176,-42.767718
52.548606,0.87739564,-53.426001
39.749448,20.200388,-59.949836
23.564049,37.906445,-61.470494
5.362565,50.439511,-55.802076
-13.771395,58.240695,-44.4693
-32.512339,61.693332,-29.180993
-46.696134,58.275248,-11.579114
-55.85371,48.65314,7.2005705
-61.02671,34.591957,26.434754
-59.934276,17.586774,42.347502
-52.298579,-0.77699395,53.075573
-39.535415,-20.077388,59.612803
-23.289015,-37.614533,60.903548
-5.173483,-50.175822,55.349305
13.98304,-58.129327,44.146287
32.57373,-61.342155,28.768426
46.691437,-57.897168,11.205732
56.056363,-48.451145,-7.605218
61.064227,-34.313571,-26.750656
59.798433,-17.309829,-42.488604
52.326961,0.99592767,-53.322889
39.552854,20.266934,-59.819788
23.290357,37.607997,-60.898354
5.2500185,50.22068,-55.470699
-13.971491,58.298764,-44.327274
-32.389166,61.276575,-28.887408
-46.479396,57.842826,-11.363429
-56.05417,48.518729,7.5354404
-60.871515,34.291875,26.57964
-59.495413,17.325864,42.169549
-52.161304,-0.99030922,53.151613
-39.347282,-20.22019,59.567472
-23.116285,-37.350587,60.466871
-5.1344435,-50.048127,55.18257
14.152879,-58.205664,44.052784
32.365253,-60.975139,28.609886
46.458995,-57.592293,11.133297
56.220793,-48.342286,-7.8785068
60.830465,-34.055147,-26.775318
59.402261,-17.158446,-42.243816
52.162804,1.2219925,-53.384796
39.293113,20.388077,-59.68119
23.134712,37.305401,-60.440113
5.167937,50.108906,-55.276843
-14.176237,58.290452,-44.114215
-32.180579,60.888133,-28.707554
-46.322727,57.580377,-11.25765
-56.236352,48.340668,7.8956839
-60.641629,34.024485,26.617144
-59.212126,17.196263,42.015864
-52.025039,-1.3015956,53.326635
-39.101782,-20.376682,59.478464
-23.04784,-37.102488,60.150328
-5.0530914,-50.024722,55.077813
14.311438,-58.175912,43.864474
32.099749,-60.65004,28.550292
46.328448,-57.432876,11.104429
56.337309,-48.158709,-8.1785999
60.558537,-33.861913,-26.696624
59.164073,-17.102807,-42.061266
51.977719,1.5522123,-53.529931
39.025533,20.49847,-59.524003
23.081774,37.073061,-60.154835
5.0158131,50.108734,-55.124547
-14.33525,58.177823,-43.842573
-31.919744,60.58294,-28.663196
-46.27081,57.444828,-11.174018
-56.321196,48.101503,8.219693
-60.392209,33.859454,26.532755
-59.060433,17.149991,41.910442
-51.82338,-1.6897136,53.513094
-38.882761,-20.478159,59.36092
-23.038846,-36.951689,59.990535
-4.8667686,-50.092477,54.959246
14.419707,-58.037043,43.617336
31.822378,-60.429943,28.607565
46.304059,-57.34494,11.040881
56.344268,-47.922396,-8.4218721
60.310376,-33.780475,-26.529901
59.048284,-17.090566,-41.957718
51.718439,1.9280864,-53.646526
38.829064,20.545482,-59.374545
23.067159,36.96368,-60.030839
4.7552448,50.190643,-54.945888
-14.420355,57.987313,-43.566958
-31.685303,60.410408,-28.725105
-46.291304,57.341466,-11.050162
-56.278049,47.835594,8.442455
-60.19713,33.831409,26.36572
-58.991424,17.109979,41.881445
-51.547052,-2.0606898,53.607742
-38.744189,-20.510626,59.254815
-23.037682,-36.920711,59.958393
-4.5704901,-50.203391,54.773881
