IsLa [A],IsLb [A],IsLc [A]
2.8968158,-77.678405,74.781589
11.15077,-62.931718,51.780948
60.02005,-74.389815,14.369765
58.962751,-64.716639,5.7538884
43.597,-5.177484,-38.419516
58.579756,-23.75317,-34.826586
44.965792,9.9693114,-54.935103
42.344245,9.210818,-51.555063
27.608614,37.288419,-64.897033
-11.807953,25.900236,-14.092283
-2.6869437,77.343776,-74.656832
-11.049167,62.930046,-51.880879
-60.06721,74.339434,-14.272224
-58.774646,64.586694,-5.8120483
-43.526557,5.1636871,38.36287
-58.585724,23.70827,34.877454
-44.789433,-10.022891,54.812324
-42.306478,-9.096509,51.402987
-27.600528,-37.284286,64.884815
11.929623,-25.884079,13.954457
2.4491023,-77.015904,74.566802
10.978337,-62.941832,51.963495
60.08592,-74.223325,14.137405
58.564082,-64.486524,5.9224418
43.485487,-5.1597789,-38.325708
58.560502,-23.628906,-34.931596
44.626636,10.05151,-54.678146
42.309398,8.9951166,-51.304514
27.54945,37.310434,-64.859884
-12.044383,25.844441,-13.800058
-2.1992967,76.716005,-74.516709
-10.942126,62.949771,-52.007645
-60.059781,74.047112,-13.987331
-58.342433,64.417952,-6.0755186
-43.461999,5.1508466,38.311153
-58.491864,23.51727,34.974594
-44.498537,-10.044417,54.542954
-42.33735,-8.9170646,51.254414
-27.459229,-37.351829,64.811058
12.143414,-25.783777,13.640362
1.9615032,-76.468778,74.507275
10.93337,-62.933032,51.999663
59.987965,-73.829455,13.84149
58.120117,-64.380637,6.26052
43.440514,-5.1184235,-38.322091
58.3771,-23.387295,-34.989805
44.41402,10.005016,-54.419036
42.37616,8.8659836,-51.242143
27.334729,37.394175,-64.728904
-12.2155,25.709963,-13.494463
-1.7618775,76.287089,-74.525212
-10.938746,62.879014,-51.940269
-59.876688,73.58928,-13.712592
-57.913532,64.376672,-6.4631403
-43.400288,5.0441583,38.35613
-58.22635,23.257773,34.968577
-44.368573,-9.9443756,54.312949
-42.411447,-8.8438032,51.255251
-27.18735,-37.421479,64.608829
12.256939,-25.637119,13.38018
1.615665,-76.167699,74.552034
10.95082,-62.784008,51.833189
59.733516,-73.349219,13.615703
57.740811,-64.398998,6.6581868
43.323708,-4.9212455,-38.402463
58.052086,-23.141094,-34.910991
44.357806,9.8722131,-54.230019
42.421549,8.8520529,-51.273602
27.038962,37.41914,-64.458103
-12.274111,25.57829,-13.304179
-1.5235575,76.097894,-74.574336
-10.960202,62.645554,-51.685351
-59.570037,73.136053,-13.566017
-57.604262,64.42719,-6.822928
-43.203273,4.7544663,38.448807
-57.867941,23.047714,34.820226
-44.376014,-9.7998837,54.175898
-42.39014,-8.882214,51.272354
-26.907571,-37.38295,64.290522
12.275831,-25.542856,13.267025
1.482906,-76.060161,74.577255
10.951059,-62.468972,51.517913
59.407093,-72.969273,13.56218
57.499175,-64.442553,6.9433784
43.040108,-4.5502278,-38.489881
57.694437,-22.992233,-34.702204
44.405599,9.7440623,-54.149661
42.314721,8.9175198,-51.232241
26.800255,37.317072,-64.117327
-12.269432,25.538229,-13.268796
-1.4857959,76.031502,-74.545706
-10.911797,62.273039,-51.361242
-59.262601,72.854575,-13.591974
-57.418367,64.431957,-7.01359
-42.835588,4.3190131,38.516575
-57.552536,22.980321,34.572215
-44.424842,-9.7174593,54.142301
-42.199373,-8.9434561,51.142829
-26.725554,-37.225618,63.951172
12.268226,-25.568573,13.300346
1.5135378,-75.987832,74.474294
10.841483,-62.077504,51.236021
59.148055,-72.790033,13.641978
57.35313,-64.38161,7.0284802
42.599652,-4.0802393,-38.519413
57.449832,-23.00064,-34.449191
44.419853,9.7253356,-54.145189
42.049957,8.94671,-50.996667
26.692022,37.115963,-63.807984
-12.28764,25.627611,-13.339971
-1.5449418,75.913634,-74.368693
-10.744369,61.898767,-51.154397
-59.072117,72.770152,-13.698035
-57.288148,64.285496,-6.997348
-42.350028,3.8571645,38.492863
-57.383,23.038033,34.344967
-44.381184,-9.7706281,54.151812
-41.882963,-8.9123392,50.795302
-26.693998,-37.002349,63.696346
12.337406,-25.705808,13.368401
1.5647894,-75.80011,74.23532
10.626265,-61.755294,51.129029
59.041988,-72.780095,13.738107
57.210041,-64.151316,6.9412745
42.102746,-3.6607577,-38.441988
57.347213,-23.079209,-34.268004
44.29815,9.8550476,-54.153197
41.723783,8.8318723,-50.555655
26.71375,36.897267,-63.611016
-12.421529,25.795138,-13.373609
-1.5584611,75.640694,-74.082233
-10.501017,61.661791,-51.160774
-59.054056,72.797646,-13.74359
-57.112498,63.994875,-6.882377
-41.873493,3.5016926,38.371801
-57.336308,23.107179,34.22913
-44.168535,-9.9672761,54.135811
-41.588438,-8.7123292,50.300767
-26.736956,-36.807188,63.544144
12.542824,-25.886822,13.343998
1.5079815,-75.436505,73.928523
10.386994,-61.617357,51.230363
59.097298,-72.80324,13.705942
56.995318,-63.83063,6.8353119
41.679431,-3.3905267,-38.288904
57.332583,-23.102891,-34.229691
44.001471,10.088516,-54.089987
41.482489,8.5659184,-50.048407
26.75123,36.738587,-63.489817
-12.69647,25.96786,-13.271391
-1.4029347,75.198158,-73.795223
-10.295168,61.607811,-51.312644
-59.157938,72.778937,-13.620999
-56.859401,63.676245,-6.8168443
-41.53229,3.3272543,38.205035
-57.318527,23.058708,34.259818
-43.81073,-10.203688,54.014417
-41.413344,-8.4047625,49.818106
-26.738531,-36.701679,63.44021
12.867686,-26.027714,13.160027
1.2461359,-74.936628,73.690492
10.229308,-61.618183,51.388875
59.22101,-72.707519,13.486509
56.716106,-63.554668,6.8385624
41.433557,-3.2977475,-38.135809
57.283798,-22.977522,-34.306276
43.610842,10.300617,-53.911459
41.385481,8.2441636,-49.629645
26.683915,36.693766,-63.377681
-13.040744,26.061709,-13.020965
-1.0458037,74.662807,-73.617003
-10.192791,61.632274,-51.439483
-59.266492,72.580881,-13.314389
-56.579598,63.477097,-6.8974986
-41.376962,3.2866287,38.090333
-57.218624,22.862207,34.356418
-43.423025,-10.365859,53.788884
-41.387078,-8.1058276,49.492906
-26.584934,-36.705425,63.290359
13.206457,-26.071497,12.86504
0.81521378,-74.39665,73.581436
10.180648,-61.625272,51.444625
59.276887,-72.404367,13.12748
56.458857,-63.439559,6.9807023
