IsLa [A],IsLb [A],IsLc [A]
32.839905,-62.657663,29.817758
49.438155,-65.015485,15.57733
54.974524,-51.265515,-3.7090092
62.482543,-38.037836,-24.444707
64.371391,-24.798199,-39.573191
55.481528,0.15119255,-55.63272
50.596161,10.028888,-60.625049
22.712726,39.839116,-62.551842
11.276947,50.492219,-61.769166
-13.229474,62.455118,-49.225644
-29.819346,55.047631,-25.228285
-52.352123,65.613234,-13.261111
-48.451944,36.051629,12.400315
-66.923756,42.508546,24.41521
-62.623964,30.713249,31.910715
-49.233274,-11.252666,60.48594
-63.193858,-2.4893864,65.683244
-17.599883,-44.852947,62.452831
-10.874785,-51.87316,62.747946
19.513589,-70.206882,50.693293
28.948549,-50.659013,21.710464
56.394998,-68.277854,11.882856
44.798361,-26.466923,-18.331438
70.892069,-47.137334,-23.754735
62.21801,-35.374849,-26.843161
47.004161,14.89763,-61.901791
67.656019,-1.1250732,-66.530946
16.59005,44.820341,-61.410391
10.81794,50.75837,-61.57631
-20.358416,69.372617,-49.014201
-28.889899,49.385571,-20.495672
-56.552121,66.729663,-10.177542
-45.126581,25.045877,20.080704
-70.977507,45.855546,25.121961
-62.022555,33.765333,28.257223
-46.720022,-16.733393,63.453416
-67.549907,-0.38993938,67.939846
-16.376483,-46.116222,62.492705
-10.192924,-52.120976,62.3139
20.812416,-70.612681,49.800265
28.917057,-50.30836,21.391303
56.663306,-67.405978,10.742672
45.23329,-25.783903,-19.449386
71.031118,-46.911751,-24.119367
61.840173,-34.513824,-27.326349
46.581584,16.113531,-62.695115
67.746832,-0.47671119,-67.27012
16.468724,45.206401,-61.675125
9.8594626,51.361108,-61.220571
-21.040411,69.925335,-48.884924
-28.921572,49.505699,-20.584127
-56.77049,66.219764,-9.4492745
-45.384398,24.724144,20.660254
-71.162816,46.058387,25.104429
-61.586044,33.274988,28.311056
-46.294199,-17.443528,63.737726
-67.754018,-0.63342274,68.387441
-16.280331,-46.204517,62.484847
-9.3619098,-52.34119,61.7031
21.391367,-70.918195,49.526828
29.070118,-50.275559,21.205441
56.886187,-66.611484,9.7252969
45.452582,-25.208352,-20.24423
71.315472,-46.809418,-24.506054
61.364227,-33.69073,-27.673497
46.162611,17.01676,-63.179372
67.980639,0.10135972,-68.081998
16.322968,45.622229,-61.945196
9.1420084,51.794143,-60.936152
-21.547108,70.579917,-49.032809
-29.16155,49.818475,-20.656925
-56.930237,65.718636,-8.7883991
-45.542772,24.455902,21.08687
-71.473915,46.182231,25.291684
-61.049027,32.725706,28.323321
-45.922787,-17.942742,63.86553
-68.00036,-0.9952945,68.995654
-16.120387,-46.363348,62.483734
-8.7908847,-52.462862,61.253747
21.850851,-71.459099,49.608249
29.378982,-50.454499,21.075517
57.004586,-65.969803,8.9652161
45.643368,-24.822191,-20.821177
71.666477,-46.651865,-25.014612
60.781706,-32.948337,-27.833369
45.836289,17.627833,-63.464122
68.166243,0.74576835,-68.912011
16.100824,45.959714,-62.060538
8.6874006,52.042889,-60.73029
-22.01981,71.404283,-49.384473
-29.499252,50.199427,-20.700175
-56.993764,65.352949,-8.3591856
-45.772177,24.353504,21.418673
-71.821027,46.138368,25.682658
-60.450312,32.236602,28.213711
-45.660743,-18.275511,63.936255
-68.1322,-1.5113486,69.643548
-15.898721,-46.461092,62.359813
-8.4646503,-52.498311,60.962962
22.346026,-72.201866,49.85584
29.711577,-50.691734,20.980157
57.028284,-65.577454,8.5491696
45.964358,-24.688711,-21.275647
72.008772,-46.404635,-25.604138
60.203933,-32.387472,-27.816461
45.618493,18.065437,-63.68393
68.182299,1.4725506,-69.65485
15.876622,46.122283,-61.998905
8.4206121,52.205258,-60.62587
-22.57136,72.313235,-49.741875
-29.80423,50.523511,-20.719281
-56.993439,65.224908,-8.2314685
-46.171596,24.433024,21.738571
-72.146812,46.005695,26.141117
-59.945115,31.919417,28.025698
-45.505286,-18.553774,64.059061
-68.051529,-2.1318165,70.183346
-15.737546,-46.41044,62.147987
-8.2573106,-52.55284,60.81015
22.935181,-72.997486,50.062305
29.946418,-50.860769,20.91435
57.031087,-65.481697,8.45061
46.441304,-24.731878,-21.709426
72.319674,-46.179985,-26.139689
59.815658,-32.095933,-27.719725
45.498139,18.465691,-63.96383
67.984086,2.1955704,-70.179657
15.754098,46.105873,-61.859971
8.214862,52.394709,-60.609571
-23.206404,73.151841,-49.945437
-29.963553,50.723423,-20.759869
-57.027056,65.329468,-8.3024126
-46.696431,24.59643,22.1
-72.446771,45.921666,26.525106
-59.718872,31.858246,27.860626
-45.431507,-18.883439,64.314946
-67.788835,-2.7200288,70.508863
-15.689838,-46.254049,61.943887
-8.0474152,-52.710958,60.758373
23.562546,-73.666594,50.104047
30.02079,-50.947038,20.926248
57.102681,-65.595429,8.4927473
46.981853,-24.824263,-22.157591
72.619614,-46.108631,-26.510983
59.752553,-32.069096,-27.683457
45.451723,18.899017,-64.350741
67.673187,2.7897431,-70.46293
15.752771,46.005494,-61.758265
7.942547,52.676558,-60.619105
-23.808141,73.766305,-49.958164
-29.981124,50.85103,-20.869905
-57.156577,65.556671,-8.400094
-47.205491,24.721388,22.484104
