IsLa [A],IsLb [A],IsLc [A]
97.094659,-122.24783,25.153172
117.8573,-109.53888,-8.3184199
119.39165,-75.507514,-43.88414
120.34734,-32.103548,-88.24379
113.72651,-5.4726408,-108.25387
82.046352,36.502304,-118.54866
54.089793,65.606322,-119.69612
17.441654,102.49413,-119.93578
-20.746766,110.86722,-90.120452
-48.161532,133.11769,-84.956157
-86.970531,111.23264,-24.262107
-121.01651,112.75849,8.2580289
-114.71505,76.033628,38.681421
-111.12139,20.870009,90.251386
-108.83327,9.7398659,99.093403
-71.5874,-44.535664,116.12306
-61.813828,-53.540345,115.35417
-21.148069,-98.139534,119.2876
22.474711,-102.7736,80.298886
36.934106,-145.1448,108.2107
78.454488,-101.78667,23.332185
123.88245,-115.54201,-8.3404371
111.15866,-75.425722,-35.732939
105.22504,-14.127289,-91.097748
105.72325,-11.525791,-94.197462
66.163009,48.654991,-114.818
63.810323,49.656558,-113.46688
21.265583,96.781471,-118.04705
-23.872501,102.15771,-78.285208
-37.493998,144.72422,-107.23022
-78.551946,100.949,-22.397051
-124.62591,114.66888,9.957037
-111.84063,74.790573,37.050062
-105.31135,13.928293,91.383054
-105.6096,10.613823,94.995779
-66.230998,-49.697591,115.92859
-64.584598,-49.482572,114.06717
-21.465305,-96.91089,118.37619
24.18092,-102.75303,78.572113
36.750513,-145.05759,108.30708
77.776621,-100.99916,23.222534
124.30341,-114.34324,-9.9601669
111.40129,-74.980178,-36.421113
104.71221,-14.507972,-90.204238
104.37247,-10.205729,-94.166739
65.281807,49.859287,-115.14109
64.550454,48.821756,-113.37221
20.511978,96.428308,-116.94029
-25.240258,102.42841,-77.188148
-36.939956,144.96739,-108.02743
-78.012592,100.37938,-22.366792
-124.61482,113.29038,11.324437
-111.92816,74.818836,37.109323
-105.067,14.403415,90.66358
-103.8577,9.2763297,94.581373
-65.286513,-50.360523,115.64704
-65.188248,-49.00321,114.19146
-20.23452,-96.418134,116.65265
25.307516,-102.48113,77.173611
36.681813,-145.65828,108.97647
77.527324,-100.06918,22.541854
124.02484,-112.79367,-11.231174
112.02801,-75.282305,-36.745703
104.66834,-14.557007,-90.111335
102.76916,-9.0541768,-93.714981
64.881324,50.321713,-115.20304
64.930986,48.96274,-113.89373
19.497317,95.78843,-115.28575
-25.812344,102.12093,-76.30859
-37.287005,145.89934,-108.61233
-77.436412,99.187564,-21.751152
-123.95563,112.06953,11.886108
-112.77781,75.206998,37.570816
-104.61008,14.151359,90.458725
-102.43877,8.7223782,93.716393
-65.07499,-50.836966,115.91196
-64.980813,-49.307673,114.28849
-19.562576,-95.452946,115.01552
25.885147,-102.32402,76.438872
37.529039,-146.29232,108.76329
76.744425,-98.754008,22.009582
123.55549,-111.87888,-11.676617
112.99291,-75.213736,-37.779177
104.03472,-14.170993,-89.86373
101.9026,-8.8415845,-93.06102
64.725389,51.225719,-115.95111
64.655699,49.134999,-113.7907
19.491095,94.877407,-114.3685
-26.519215,102.35785,-75.838638
-37.992152,146.07462,-108.08247
-76.422314,98.282865,-21.860551
-123.70389,111.40094,12.302945
-113.28566,74.70237,38.583294
-103.92735,14.150975,89.776373
-101.75103,8.5667166,93.184314
-64.470327,-51.980893,116.45122
-64.849644,-49.067818,113.91746
-19.756217,-94.758231,114.51445
26.970102,-102.63573,75.665627
37.881404,-146.03962,108.15822
76.006544,-98.355957,22.349414
123.66023,-111.03678,-12.62345
113.05664,-74.417351,-38.639287
103.83076,-14.593518,-89.237241
101.22408,-8.3252129,-92.898864
63.819065,52.373248,-116.19231
65.012299,48.755189,-113.76749
19.557032,94.588029,-114.14506
-27.611412,102.48608,-74.874672
-37.874194,145.91591,-108.04172
-76.042727,98.309404,-22.266677
-123.73328,110.29055,13.442725
-113.00657,74.087226,38.919341
-104.13432,14.803739,89.330581
-100.74255,7.7525569,92.989991
-63.46864,-52.724444,116.19308
-65.439293,-48.841718,114.28101
-19.336807,-94.639194,113.976
27.854944,-102.34081,74.485866
37.816022,-146.28961,108.47359
76.013297,-98.354219,22.340922
123.39257,-109.71376,-13.678806
112.9351,-74.148172,-38.786926
104.24858,-14.954751,-89.293826
100.01247,-7.4357818,-92.576686
63.1466,52.740538,-115.88714
65.519641,48.993974,-114.51361
18.929951,94.390416,-113.32037
-28.056102,102.00842,-73.952314
-38.190938,146.67625,-108.48531
-76.091439,98.041075,-21.949636
-123.08343,109.17355,13.909877
-113.25297,74.12884,39.124134
-104.32247,14.720364,89.602101
-99.554427,7.2350714,92.319355
-63.120309,-52.935982,116.05629
-65.438201,-49.405165,114.84337
-18.865173,-94.100477,112.96565
28.058524,-101.93488,73.876353
38.646463,-147.13302,108.48656
75.872175,-97.763914,21.891739
122.72503,-109.00163,-13.723402
113.53219,-74.081635,-39.45055
104.11455,-14.529226,-89.585329
99.273396,-7.4030358,-91.87036
62.981708,53.191187,-116.17289
65.069158,49.612795,-114.68195
18.972004,93.659366,-112.63137
-28.297729,101.95044,-73.652706
-39.140403,147.18003,-108.03963
-75.61511,97.499869,-21.884759
-122.63674,108.84653,13.790207
-113.76625,73.696672,40.069578
-103.97393,14.373468,89.600463
-99.282365,7.5083095,91.774055
-62.761893,-53.700939,116.46283
-64.876938,-49.702422,114.57936
-19.27461,-93.477317,112.75193
28.669214,-102.1561,73.486881
39.300763,-147.04806,107.7473
75.33197,-97.601142,22.269172
122.64506,-108.72747,-13.917595
113.69167,-73.300556,-40.39111
103.93772,-14.568135,-89.36959
99.239873,-7.5165318,-91.723342
62.287751,54.114031,-116.40178
64.854392,49.575497,-114.42989
19.40355,93.429717,-112.83327
-29.174858,102.17613,-73.001276
-39.278607,146.79363,-107.51502
-75.304835,97.795424,-22.490589
-122.73824,108.34732,14.390913
-113.5395,72.954136,40.58536
-104.216,14.844148,89.371856
-99.09753,7.2395176,91.858012
-61.835499,-54.431629,116.26713
-65.081149,-49.593983,114.67513
-19.333047,-93.606051,112.9391
29.476746,-102.04583,72.569079
39.152118,-146.79956,107.64744
75.443357,-98.034763,22.591406
122.62091,-107.88882,-14.732089
113.38763,-72.884503,-40.503128
104.54213,-15.107127,-89.434999
98.746601,-6.9782889,-91.768312
61.512743,54.468463,-115.98121
65.249493,49.760969,-115.01046
19.010663,93.716862,-112.72752
-29.575121,101.73366,-72.158536
-39.291429,147.05198,-107.76055
-75.676489,98.035639,-22.35915
-122.36811,107.43754,14.930563
-113.48345,72.917219,40.566228
-104.78886,15.059199,89.729661
-98.40631,6.8320412,91.574269
-61.458721,-54.446738,115.90546
-65.254952,-50.14944,115.40439
-18.786475,-93.685677,112.47215
29.478977,-101.51762,72.038641
39.674051,-147.44973,107.77567
75.777493,-97.897276,22.119782
122.06587,-107.29619,-14.769682
113.73187,-72.972047,-40.759827
104.76572,-14.805547,-89.960173
98.214806,-6.9764586,-91.238348
61.492293,54.506057,-115.99835
65.018908,50.479408,-115.49832
18.814932,93.431532,-112.24646
-29.414215,101.42926,-72.015041
-40.190428,147.65545,-107.46502
-75.730729,97.683312,-21.952582
-121.91334,107.33415,14.579191
-113.98611,72.793205,41.192908
-104.61216,14.516925,90.095234
-98.289875,7.2019359,91.087939
-61.455908,-54.811332,116.26724
-64.734477,-50.662908,115.39738
-19.130273,-93.215894,112.34617
29.509643,-101.55263,72.042987
40.521093,-147.61615,107.09505
75.563684,-97.673414,22.10973
121.96549,-107.47278,-14.492703
114.01201,-72.442013,-41.569997
104.48834,-14.462887,-90.025458
98.475275,-7.3816622,-91.093613
61.203517,55.194791,-116.39831
64.566074,50.612316,-115.17839
19.444486,93.134124,-112.57861
-29.81763,101.67577,-71.85814
-40.555447,147.38206,-106.82661
-75.497282,97.889383,-22.392101
-122.13853,107.45064,14.687895
-113.84213,72.041648,41.800481
-104.60478,14.62212,89.982662
-98.611446,7.3016567,91.309789
-60.840284,-55.490994,116.33128
-64.654213,-50.504772,115.15899
-19.544035,-93.297442,112.84148
30.120848,-101.66685,71.546005
40.383316,-147.21793,106.83462
75.581056,-98.2229,22.641844
122.20945,-107.24693,-14.962517
113.61108,-71.855184,-41.755901
104.90163,-14.873682,-90.027944
98.528691,-7.03114,-91.497551
60.518211,55.550624,-116.06884
64.850708,50.527886,-115.37859
19.355966,93.526571,-112.88254
-30.262933,101.46959,-71.206661
-40.291059,147.29274,-107.00168
-75.81504,98.428859,-22.613819
-122.0725,106.9233,15.149199
-113.52426,71.888897,41.635363
-105.22806,14.982125,90.24593
-98.298944,6.7836723,91.515272
-60.401027,-55.44041,115.84144
-64.938199,-50.78472,115.72292
-19.040474,-93.690906,112.73138
30.159855,-101.24576,71.085906
40.448122,-147.62288,107.17476
76.034003,-98.413793,22.37979
121.80335,-106.74062,-15.06273
113.67525,-72.039846,-41.635409
105.36931,-14.877761,-90.491552
98.10123,-6.7964388,-91.304791
60.47587,55.283101,-115.75897
64.788007,51.144722,-115.93273
18.840223,93.644814,-112.48504
-29.961149,101.11115,-71.150002
-40.839995,147.92722,-107.08722
-76.092946,98.226613,-22.133668
-121.61395,106.79533,14.818622
-113.9485,72.070185,41.878319
-105.28383,14.596368,90.687463
-98.123544,7.0508799,91.072664
-60.590483,-55.317063,115.90755
-64.490896,-51.419288,115.91018
-18.949643,-93.463261,112.4129
29.866789,-101.1892,71.322413
41.22978,-147.98141,106.75163
75.989033,-98.089926,22.100894
121.60899,-107.0286,-14.580389
114.12723,-71.897213,-42.23002
105.09162,-14.397077,-90.694544
98.322746,-7.3586857,-90.964061
60.539225,55.552074,-116.0913
64.247074,51.447892,-115.69497
19.269733,93.324237,-112.59397
-29.97351,101.35911,-71.385601
-41.399294,147.761,-106.36171
-75.872667,98.156853,-22.284186
-121.81627,107.22405,14.592227
-114.06552,71.576868,42.488654
-105.0165,14.436633,90.579866
-98.559213,7.4750874,91.084126
-60.296992,-55.839032,116.13602
-64.202099,-51.315942,115.51804
-19.551983,-93.347173,112.89916
30.198955,-101.45773,71.258774
41.279967,-147.48318,106.20321
75.882878,-98.423241,22.540363
122.06801,-107.2167,-14.851313
113.81646,-71.31584,-42.500624
105.18778,-14.667189,-90.520593
98.643588,-7.3381916,-91.305396
60.00178,55.975212,-115.97699
64.371801,51.187316,-115.55912
19.571542,93.536176,-113.10772
-30.35958,101.34487,-70.985294
-41.047353,147.33862,-106.29127
-76.05708,98.710204,-22.653124
-122.1281,106.99208,15.136018
-113.57594,71.247152,42.32879
