IsLa [A],IsLb [A],IsLc [A]
64.875357,-121.39686,56.521502
99.653655,-123.13251,23.478858
120.09373,-107.75531,-12.338417
120.92041,-72.740573,-48.179836
119.90219,-26.552767,-93.349427
112.90364,-0.81129284,-112.09235
80.905502,40.501177,-121.40668
45.206601,73.122622,-118.32922
11.45772,108.3462,-119.80392
-32.759589,108.27398,-75.514389
-58.254172,130.30555,-72.051378
-86.103938,120.88778,-34.783843
-127.55159,114.12813,13.423462
-121.57038,80.930369,40.640007
-110.33046,10.151529,100.17893
-110.23195,2.8164833,107.41547
-76.628099,-46.854837,123.48294
-46.403099,-66.282468,112.68557
-11.694969,-108.24387,119.93884
42.403625,-96.013351,53.609726
52.54536,-139.73188,87.186516
74.481296,-118.88207,44.400772
133.47243,-119.33869,-14.133745
121.99747,-85.923777,-36.073698
104.05507,0.019862521,-104.07493
108.11402,-3.5626413,-104.55138
74.054744,50.08506,-124.1398
46.314154,64.287257,-110.60141
10.936167,107.59813,-118.5343
-44.128569,94.746695,-50.618127
-53.344407,139.59937,-86.254962
-74.47725,117.45381,-42.976564
-133.85058,118.45632,15.394258
-123.05952,85.6388,37.420715
-103.79379,-0.75056217,104.54436
-108.02724,2.8714396,105.1558
-74.685572,-50.992571,125.67814
-46.670905,-64.451131,111.12204
-11.252706,-107.51896,118.77166
44.108664,-95.445107,51.336443
53.000907,-139.96628,86.965376
73.365623,-117.05572,43.690094
133.39614,-118.41802,-14.978117
122.84526,-85.737994,-37.10727
102.62294,0.559664,-103.18261
107.04068,-2.841734,-104.19894
74.02099,51.377113,-125.3981
46.198179,63.766755,-109.96493
10.710299,106.88208,-117.59238
-45.176615,95.55572,-50.379105
-53.330564,139.55712,-86.226555
-73.293816,116.42068,-43.126869
-133.96186,117.7093,16.252557
-123.21972,85.161071,38.058651
-102.58718,-0.66236359,103.24954
-106.84039,2.0893975,104.751
-73.907967,-52.23608,126.14405
-46.760431,-63.546577,110.30701
-10.790572,-106.92604,117.71661
45.551656,-96.018491,50.466835
52.781363,-139.73602,86.954658
72.753799,-116.47264,43.71884
133.80901,-117.33479,-16.474216
122.87075,-85.259613,-37.611138
102.18705,0.19456539,-102.38161
105.8546,-1.63062,-104.22398
73.150693,52.391752,-125.54244
46.860257,63.020755,-109.88101
10.046123,106.56585,-116.61197
-46.38614,95.786722,-49.400583
-52.848294,139.70571,-86.85742
-72.914712,115.98582,-43.071112
-133.9684,116.40133,17.567073
-123.22154,85.195034,38.02651
-102.42729,-0.24368837,102.67098
-105.28976,0.80811708,104.48165
-73.090677,-52.736765,125.82744
-47.354387,-63.154924,110.50931
-9.6973831,-106.54,116.23738
46.529511,-95.793476,49.263965
52.700221,-140.29866,87.598443
72.582573,-115.63291,43.050335
133.4726,-115.89761,-17.574993
123.40787,-85.602201,-37.805666
102.13956,0.16799338,-102.30755
104.37091,-0.57020521,-103.8007
72.846202,52.703548,-125.54975
47.184162,63.171591,-110.35575
9.0928961,106.02895,-115.12185
-46.914256,95.517021,-48.602765
-53.180682,140.57247,-87.391788
-72.415747,114.83467,-42.418928
-133.32525,115.31555,18.009698
-124.04932,85.570512,38.478809
-102.017,-0.5328074,102.54981
-104.02262,0.33824335,103.68438
-72.996217,-53.13911,126.13533
-47.13511,-63.461039,110.59615
-9.1110514,-105.69128,114.80233
47.031423,-95.681384,48.649961
53.448898,-140.88136,87.432463
71.805854,-114.40822,42.602369
133.02611,-115.17086,-17.855248
124.29868,-85.513224,-38.785453
101.53982,0.56222535,-102.10205
103.61237,-0.45719073,-103.15518
72.717869,53.556945,-126.27481
46.844071,63.345358,-110.18943
9.1221651,105.19987,-114.32203
-47.540185,95.752962,-48.212776
-53.819327,140.68483,-86.865506
-71.466588,114.06768,-42.601087
-133.16568,114.81495,18.350731
-124.48423,85.035068,39.449166
-101.41445,-0.54062068,101.95507
-103.47728,0.26198727,103.21529
-72.409008,-54.240383,126.64939
-46.948897,-63.268532,110.21743
-9.3478195,-105.07142,114.41924
47.959517,-95.986224,48.026707
53.7565,-140.59564,86.839143
71.157758,-114.193,43.035246
133.21442,-114.47715,-18.737263
124.2531,-84.740682,-39.51242
101.38453,0.14106209,-101.5256
103.0625,-0.020410729,-103.04209
71.823129,54.605243,-126.42837
47.129004,63.009719,-110.13872
9.1968285,104.96069,-114.15751
-48.494799,95.877779,-47.38298
-53.724582,140.4899,-86.765318
-71.233343,114.22798,-42.994634
-133.26822,113.80734,19.460881
-124.1489,84.488971,39.659927
-101.65316,0.080960362,101.5722
-102.61134,-0.50214086,103.11348
-71.496584,-54.856016,126.3526
