IsLa [A],IsLb [A],IsLc [A]
97.328962,-122.79258,25.463621
116.80885,-109.11471,-7.6941419
121.36918,-76.027113,-45.342072
124.64494,-38.399823,-86.245121
117.22052,-5.1722015,-112.04832
90.120381,30.360142,-120.48052
51.776907,71.715729,-123.49264
17.492361,103.49496,-120.98733
-16.551611,117.30084,-100.74923
-56.379975,120.70136,-64.321385
-93.128625,121.32073,-28.192104
-113.01497,108.00251,5.0124576
-118.64016,76.066934,42.573221
-120.43261,38.145455,82.287152
-113.11878,4.9159476,108.20283
-87.028816,-30.744737,117.77355
-48.875923,-71.019271,119.89519
-14.53863,-102.44231,116.98094
19.65401,-117.05047,97.396456
58.829075,-120.28232,61.453243
94.653037,-119.92647,25.273437
115.07902,-106.96522,-8.113796
121.08787,-75.543326,-45.544544
121.71762,-37.703143,-84.014473
114.50007,-4.2334534,-110.26662
88.853333,31.706863,-120.5602
50.957925,70.812816,-121.77074
16.411726,102.1896,-118.60133
-18.342333,117.54243,-99.200099
-56.755573,120.37935,-63.623781
-91.99671,119.44962,-27.452913
-113.00984,106.41659,6.5932409
-119.05744,75.33108,43.726357
-119.11287,37.961723,81.151151
-111.70275,3.8861659,107.81658
-86.345332,-32.103625,118.44896
-49.248448,-70.001498,119.24995
-14.332775,-101.50245,115.83523
20.796515,-117.3154,96.518883
58.177702,-119.97203,61.794328
93.139568,-118.7374,25.597831
114.53861,-105.41622,-9.1223873
120.52296,-74.898673,-45.624291
120.35827,-37.949901,-82.40837
112.31871,-3.0005753,-109.31814
87.24822,32.755468,-120.00369
50.974085,69.829833,-120.80392
15.233349,101.39787,-116.63122
-20.090721,117.3847,-97.293976
-56.673984,120.23582,-63.561833
-91.526994,118.43148,-26.904487
-112.9953,104.67718,8.3181255
-119.20796,74.982888,44.22507
-118.8705,38.174822,80.695682
-110.02417,2.5050162,107.51916
-85.527553,-32.787574,118.31513
-49.973561,-69.424495,119.39806
-13.486186,-100.78423,114.27041
21.583509,-116.83609,95.252582
57.730147,-120.23957,62.509427
92.293653,-117.57548,25.281826
113.68044,-103.7034,-9.9770366
120.50283,-74.924207,-45.578624
119.67172,-37.919661,-81.752063
110.15084,-1.8710966,-108.27975
86.29709,33.164382,-119.46147
50.952472,69.667929,-120.6204
13.938138,100.51553,-114.45367
-20.94478,116.7705,-95.825719
-57.073931,120.69658,-63.622647
-91.051344,116.98244,-25.931097
-112.41348,103.17417,9.2393062
-119.97173,75.035874,44.935857
-118.39493,37.806754,80.58818
-108.57901,1.8111432,106.76786
-85.260958,-33.328627,118.58958
-49.956643,-69.556549,119.51319
-12.951173,-99.761943,112.71312
21.947874,-116.46653,94.518654
58.08595,-120.62904,62.543092
91.221144,-116.12798,24.906835
112.8323,-102.5496,-10.282695
120.96775,-74.714999,-46.252755
118.64051,-37.542557,-81.097953
108.78638,-1.5991179,-107.18726
85.661537,33.996606,-119.65814
50.420387,69.703518,-120.12391
13.586525,99.440798,-113.02732
-21.819864,116.68597,-94.866105
-57.805606,120.70401,-62.898406
-90.143152,115.81791,-25.674763
-112.14046,102.18027,9.9601867
-120.43847,74.37352,46.064948
-117.71585,37.68597,80.029884
-107.78779,1.5557651,106.23202
-84.583766,-34.458696,119.04246
-49.8217,-69.403127,119.22483
-13.154745,-98.944772,112.09952
22.862889,-116.5665,93.703611
58.349059,-120.36881,62.019747
90.23247,-115.52085,25.288381
112.56156,-101.51498,-11.046584
120.74709,-73.83647,-46.91062
