IsLa [A],IsLb [A],IsLc [A]
94.25264,-134.23162,39.978976
123.36223,-121.12026,-2.2419704
135.0103,-92.09524,-42.915064
133.38215,-48.316879,-85.065272
122.49401,-13.465749,-109.02826
95.059468,35.378532,-130.438
72.007333,62.650661,-134.65799
28.47113,103.01943,-131.49056
-18.757995,119.65318,-100.89518
-47.895016,150.62969,-102.73467
-85.089611,123.03855,-37.948943
-128.66133,125.22069,3.4406453
-130.71946,92.298403,38.421058
-126.57555,37.153151,89.4224
-119.33348,17.451114,101.88237
-85.599795,-43.439567,129.03936
-80.752157,-51.054617,131.80677
-33.437733,-99.877651,133.31538
18.556116,-111.29745,92.741331
35.786052,-166.12695,130.34089
75.972026,-114.41616,38.44413
131.42071,-129.43835,-1.9823548
125.79694,-92.40626,-33.39068
120.97741,-31.646571,-89.33084
116.21259,-20.290224,-95.922364
79.777418,46.276994,-126.05441
81.765439,47.153066,-128.9185
33.032968,98.133119,-131.16609
-19.516711,109.67137,-90.154658
-37.534007,165.70816,-128.17416
-77.606418,113.75465,-36.148229
-132.87117,128.43888,4.4322887
-127.06909,91.313514,35.755574
-122.36758,31.076353,91.29123
-117.78909,19.424014,98.365077
-80.885898,-47.54349,128.42939
-82.405627,-48.578393,130.98402
-33.700986,-99.204566,132.90555
18.601646,-110.58934,91.987697
36.840223,-167.03863,130.19841
76.991349,-114.65418,37.662833
132.15092,-128.93602,-3.2148994
126.05486,-91.606839,-34.44802
121.3072,-31.805747,-89.501457
117.02231,-20.210903,-96.811403
80.155089,46.873264,-127.02835
81.262453,48.18961,-129.45206
32.532525,98.537258,-131.06978
-19.413157,109.78997,-90.376817
-37.699249,166.57024,-128.871
-77.810581,114.25075,-36.440168
-133.20141,128.30584,4.8955632
-126.79439,90.699169,36.095219
-122.11154,31.16789,90.943651
-117.91139,19.783239,98.128154
-81.199937,-47.346223,128.54616
-81.923695,-49.009408,130.9331
-32.892422,-99.358229,132.25065
18.924182,-110.3725,91.448313
37.133851,-167.32948,130.19563
77.159079,-115.01715,37.858068
132.77106,-129.00523,-3.7658277
126.27198,-91.004179,-35.267805
121.48399,-31.535056,-89.948933
117.35686,-20.364317,-96.992544
80.977228,46.469537,-127.44676
81.500812,48.623441,-130.12425
32.208308,99.026058,-131.23437
-19.553403,109.89294,-90.339532
-37.890671,166.80492,-128.91425
-77.533075,114.71301,-37.179934
-133.30287,128.85617,4.4466946
-126.86854,90.41259,36.455946
-121.86011,30.846014,91.014101
-117.67724,19.734204,97.943038
-81.505578,-46.729857,128.23543
-81.965248,-49.157864,131.12311
-32.3945,-99.630977,132.02548
19.582581,-110.3596,90.777024
37.887445,-167.13108,129.24364
77.138521,-115.02236,37.883838
132.85999,-129.38072,-3.4792725
126.55177,-90.691203,-35.860568
121.35369,-30.883526,-90.470163
117.00801,-19.769734,-97.238276
81.119166,46.272922,-127.39209
81.800832,48.739763,-130.5406
32.156952,99.245048,-131.402
-20.089471,110.03949,-89.950015
-38.447792,166.64618,-128.19839
-77.34888,114.60251,-37.253626
-133.06675,129.28214,3.7846136
-126.89079,90.632994,36.257797
-121.64969,30.508027,91.141661
-117.0733,19.253678,97.819624
-81.344606,-46.52601,127.87062
-82.222867,-48.906865,131.12973
-32.714753,-99.378441,132.09319
19.815302,-110.29769,90.482392
38.424082,-166.87684,128.45276
77.112536,-114.76444,37.651904
132.65953,-129.6428,-3.0167225
126.67652,-91.228841,-35.447675
121.42154,-30.891182,-90.530362
116.76771,-19.359933,-97.407777
81.045818,46.285801,-127.33162
81.974163,48.700793,-130.67496
32.885438,98.953108,-131.83855
-19.723579,109.94923,-90.225651
-38.876181,166.66841,-127.79223
-77.406533,114.4126,-37.006068
-132.74794,129.43485,3.313092
