IsLa [A],IsLb [A],IsLc [A]
30.969748,-68.147764,37.178017
49.132338,-67.393019,18.260681
62.156953,-59.187819,-2.9691348
69.085589,-44.813292,-24.272297
70.012238,-26.523887,-43.48835
64.479228,-5.7280088,-58.751219
52.390383,15.972134,-68.362517
35.030557,36.331567,-71.362124
15.055096,52.528515,-67.583611
-6.4888381,63.680622,-57.191784
-27.836327,69.155961,-41.319634
-46.08586,68.26328,-22.17742
-59.194021,60.110455,-0.91643362
-66.10581,45.767583,20.338227
-66.934511,27.396729,39.537782
-61.380617,6.6628851,54.717732
-49.361736,-14.929573,64.291309
-32.066672,-35.23477,67.301441
-12.177462,-51.444445,63.621907
9.1443515,-62.512718,53.368367
30.245652,-67.812261,37.566609
48.371563,-66.86354,18.491977
61.464956,-58.795457,-2.6694986
68.299377,-44.531054,-23.768323
68.977364,-26.201053,-42.776311
63.333467,-5.5696686,-57.763798
51.280553,15.933743,-67.214296
33.896249,36.214637,-70.110886
13.994948,52.423144,-66.418093
-7.2667578,63.386376,-56.119618
-28.241277,68.468534,-40.227257
-46.382912,67.420009,-21.037096
-59.507517,59.412085,0.095431991
-66.340897,45.183015,21.157882
-66.939789,26.783871,40.155918
-61.294006,6.2333603,55.060646
-49.295379,-15.178232,64.473611
-31.96711,-35.39968,67.36679
-12.112449,-51.620872,63.73332
9.0272449,-62.547019,53.519774
29.798854,-67.495459,37.696605
47.828222,-66.391456,18.563234
60.931334,-58.442874,-2.4884603
67.728741,-44.26224,-23.466501
68.23083,-25.863502,-42.367328
62.505649,-5.4047401,-57.100909
50.488114,15.93766,-66.425774
33.094199,36.133327,-69.227526
13.221317,52.35354,-65.574857
-7.9110407,63.235585,-55.324545
-28.578427,68.011252,-39.432826
-46.58914,66.817811,-20.228671
-59.705793,58.888937,0.81685673
-66.496098,44.716897,21.779201
-66.950396,26.252413,40.697983
-61.18638,5.8434187,55.342961
-49.196573,-15.429699,64.626272
-31.823045,-35.58404,67.407085
-11.975085,-51.798721,63.773806
9.1071093,-62.666459,53.55935
29.629963,-67.331687,37.701725
47.53092,-66.079941,18.549021
60.610222,-58.148428,-2.461794
67.374446,-44.014822,-23.359624
67.770919,-25.540828,-42.230092
61.907174,-5.1751671,-56.732007
49.893801,16.028013,-65.921815
32.472571,36.151515,-68.624086
12.612786,52.342884,-64.95567
-8.4790725,63.178863,-54.699791
-28.922692,67.703054,-38.780362
-46.762403,66.363315,-19.600912
-59.814167,58.407236,1.4069313
-66.569907,44.286355,22.283552
-66.930423,25.769353,41.16107
-60.995801,5.4192746,55.576526
-49.009584,-15.685744,64.695328
-31.606172,-35.763115,67.369287
-11.761053,-51.935829,63.696881
9.2879821,-62.752124,53.464142
29.629655,-67.190071,37.560416
47.334763,-65.783449,18.448686
60.342841,-57.811277,-2.5315647
67.078617,-43.72709,-23.351527
67.401227,-25.222244,-42.178982
61.387589,-4.8930406,-56.494549
49.396119,16.108784,-65.504903
31.974608,36.147297,-68.121905
12.125813,52.29882,-64.424633
-8.9054719,63.07883,-54.173358
-29.192127,67.430826,-38.2387
-46.814426,65.946278,-19.131852
-59.78445,57.956228,1.8282218
-66.520405,43.897649,22.622756
-66.822077,25.384927,41.43715
-60.785897,5.0653568,55.72054
-48.809604,-15.841481,64.651085
-31.424732,-35.819084,67.243816
-11.584678,-51.972351,63.557028
9.39747,-62.739946,53.342476
29.633607,-67.061508,37.427901
47.147861,-65.515487,18.367626
60.064719,-57.525397,-2.5393218
66.814954,-43.510426,-23.304529
67.096888,-25.015836,-42.081052
61.042199,-4.7059022,-56.336297
49.047508,16.123373,-65.170881
31.679523,36.03623,-67.715752
11.833204,52.203698,-64.036902
-9.1335381,62.953409,-53.819871
-29.350318,67.249348,-37.89903
-46.804511,65.637802,-18.833291
-59.674165,57.648196,2.0259689
-66.452803,43.655691,22.797112
-66.727691,25.154968,41.572723
-60.689423,4.8569035,55.832519
-48.681678,-15.922994,64.604672
-31.358646,-35.766363,67.125009
-11.509041,-51.958656,63.467697
9.4295649,-62.705494,53.275929
29.621285,-67.009434,37.38815
47.015391,-65.348188,18.332797
59.825343,-57.359496,-2.4658464
66.631759,-43.393624,-23.238135
66.897088,-24.907704,-41.989384
60.869927,-4.6213071,-56.24862
48.825868,16.128801,-64.954669
31.530544,35.899229,-67.429773
11.672859,52.11042,-63.783278
-9.258771,62.84891,-53.590139
-29.444157,67.163433,-37.719277
-46.81473,65.445696,-18.630966
-59.559144,57.447618,2.1115259
-66.393824,43.502913,22.890911
-66.660577,25.012663,41.647914
-60.656976,4.7276265,55.929349
-48.583099,-16.008512,64.59161
-31.326679,-35.704455,67.031134
-11.477142,-51.923331,63.400473
9.4490111,-62.671947,53.222936
29.628974,-67.014901,37.385926
46.974807,-65.251137,18.27633
59.644596,-57.239709,-2.4048869
66.495828,-43.327949,-23.167879
