IsLa [A],IsLb [A],IsLc [A]
29.624352,-67.257077,37.632725
47.503555,-65.68702,18.183465
60.184379,-57.486758,-2.6976212
66.559013,-43.32774,-23.231273
66.953176,-24.913339,-42.039837
60.997289,-4.6416483,-56.355641
48.571623,16.512182,-65.083806
31.158892,36.323786,-67.482678
11.410904,52.319757,-63.730661
-9.5295284,62.907121,-53.377592
-29.626124,67.197527,-37.571403
-47.476946,65.647343,-18.170397
-60.168403,57.425166,2.7432369
-66.522439,43.235744,23.286695
-66.91719,24.852082,42.065108
-60.93204,4.613324,56.318716
-48.539788,-16.492976,65.032764
-31.10731,-36.323175,67.430485
-11.344215,-52.323408,63.667623
9.5648141,-62.88798,53.323166
29.618353,-67.136371,37.518018
47.427399,-65.60169,18.174292
60.130312,-57.377622,-2.75269
66.479338,-43.158737,-23.320601
66.875125,-24.814342,-42.060783
60.888538,-4.6000497,-56.288488
48.523,16.45229,-64.975291
31.091443,36.281643,-67.373086
11.301551,52.316989,-63.618541
-9.5736647,62.864908,-53.291244
-29.607103,67.090175,-37.483072
-47.365827,65.563639,-18.197813
-60.079497,57.361625,2.7178717
-66.441852,43.1072,23.334651
-66.841207,24.795156,42.046051
-60.873499,4.6017723,56.271726
-48.524708,-16.39558,64.920288
-31.109199,-36.215122,67.324321
-11.283115,-52.305691,63.588806
9.5704737,-62.846736,53.276263
29.597167,-67.062888,37.465721
47.301807,-65.538925,18.237118
60.028189,-57.371942,-2.6562477
66.413877,-43.074781,-23.339097
66.814743,-24.786099,-42.028644
60.877277,-4.6105737,-56.266703
48.532634,16.3354,-64.868034
31.145922,36.137005,-67.282927
11.276956,52.295447,-63.572404
-9.5618472,62.829531,-53.267684
-29.59075,67.049154,-37.458404
-47.247596,65.521151,-18.273555
-59.973669,57.391409,2.5822599
-66.391851,43.054647,23.337204
-66.78943,24.78055,42.00888
-60.889051,4.6217719,56.267279
-48.537015,-16.287175,64.824189
-31.190521,-36.056096,67.246617
-11.279591,-52.28221,63.561801
9.5543081,-62.812947,53.258639
29.590416,-67.048115,37.457698
47.210584,-65.504973,18.294389
59.919102,-57.412788,-2.5063133
66.371609,-43.049799,-23.32181
66.766582,-24.768698,-41.997885
60.906505,-4.6276752,-56.27883
48.536798,16.259527,-64.796324
31.236111,35.981345,-67.217456
11.293355,52.267364,-63.560718
-9.5592523,62.809595,-53.250342
-29.603761,67.059425,-37.455664
-47.194544,65.495911,-18.301366
-59.876466,57.439598,2.4368682
-66.362523,43.0612,23.301323
-66.755047,24.747788,42.007259
-60.928887,4.6242644,56.304623
-48.540163,-16.254977,64.79514
-31.277402,-35.923253,67.200655
-11.31354,-52.261488,63.575028
9.5806692,-62.828457,53.247788
29.63452,-67.085103,37.450583
47.208211,-65.508117,18.299906
59.855465,-57.469385,-2.3860805
66.37134,-43.081847,-23.289492
66.760817,-24.724291,-42.036526
60.956651,-4.6091463,-56.347504
48.546133,16.275851,-64.821984
31.301777,35.899295,-67.201072
11.333344,52.268903,-63.602247
-9.6129735,62.864664,-53.25169
-29.688345,67.122603,-37.434259
-47.252203,65.535813,-18.28361
-59.85648,57.487512,2.3689682
-66.38859,43.101765,23.286824
-66.777423,24.698838,42.078585
-60.97319,4.5705304,56.40266
-48.540525,-16.326775,64.867299
-31.297422,-35.905317,67.202739
-11.343543,-52.280361,63.623904
9.6572595,-62.905313,53.248054
29.762082,-67.151657,37.389576
47.317602,-65.559379,18.241777
59.861895,-57.479672,-2.3822227
66.39996,-43.106636,-23.293325
66.788682,-24.66338,-42.125303
60.957465,-4.5008416,-56.456624
48.511708,16.397048,-64.908756
31.264597,35.923578,-67.188176
11.338173,52.281553,-63.619726
-9.7057627,62.932159,-53.226396
-29.845325,67.157056,-37.311731
-47.373106,65.555801,-18.182695
-59.858309,57.443952,2.4143569
-66.388042,43.089333,23.298709
-66.777132,24.620321,42.15681
-60.908709,4.4131855,56.495523
-48.466697,-16.457642,64.924338
-31.213892,-35.940097,67.153989
-11.324551,-52.263772,63.588323
9.7380505,-62.930278,53.192228
29.911715,-67.134077,37.222362
47.404198,-65.530088,18.125891
59.842941,-57.394363,-2.4485779
66.345387,-43.058115,-23.287272
66.742092,-24.588127,-42.153965
60.845592,-4.3373399,-56.508252
48.423855,16.495852,-64.919707
31.166746,35.943551,-67.110298
11.319801,52.224139,-63.54394
-9.7309793,62.900413,-53.169433
-29.94952,67.096939,-37.147419
-47.414597,65.495401,-18.080804
-59.819081,57.354482,2.4645997
-66.290559,43.038161,23.252398
-66.696538,24.586026,42.110512
-60.797872,4.2915054,56.506367
-48.394715,-16.514697,64.909412
-31.141583,-35.927257,67.06884
-11.336907,-52.170349,63.507256
9.6858229,-62.857112,53.171289
29.958694,-67.062933,37.104239
47.409774,-65.465014,18.05524
59.796451,-57.341893,-2.454558
66.240225,-43.039546,-23.200679
66.657411,-24.611191,-42.04622
60.779615,-4.2822624,-56.497352
48.384819,16.51503,-64.899849
31.139295,35.903394,-67.042689
11.371717,52.116981,-63.488698
-9.6196553,62.81281,-53.193155
-29.943354,67.036656,-37.093303
-47.397651,65.446413,-18.048762
-59.785076,57.355818,2.4292587
-66.200603,43.05313,23.147473
-66.625638,24.652769,41.972869
-60.784899,4.3042428,56.480656
-48.383376,-16.507498,64.890874
-31.149292,-35.881421,67.030713
-11.407436,-52.072416,63.479852
