IsLa [A],IsLb [A],IsLc [A]
29.327656,-67.467654,38.139998
46.859492,-66.115523,19.25603
59.557564,-58.363282,-1.1942815
66.467798,-44.074703,-22.393095
67.23576,-25.368655,-41.867104
61.603938,-5.151017,-56.452921
49.442105,15.464878,-64.906984
32.419832,35.04965,-67.469482
12.367706,51.881459,-64.249165
-9.0536818,63.000993,-53.947311
-29.417752,67.473072,-38.05532
-46.982473,66.109511,-19.127038
-59.546606,58.323729,1.2228772
-66.418169,44.105271,22.312898
-67.216735,25.356276,41.86046
-61.554369,5.0578021,56.496567
-49.34609,-15.615413,64.961503
-32.363069,-35.064942,67.428011
-12.415661,-51.803656,64.219317
9.047181,-62.976161,53.92898
29.486517,-67.444956,37.958438
47.080706,-66.074843,18.994137
59.53578,-58.256417,-1.2793633
66.340039,-44.112383,-22.227657
67.170323,-25.354783,-41.81554
61.483948,-4.9791103,-56.504837
49.246782,15.743405,-64.990188
32.288236,35.088652,-67.376888
12.459076,51.709727,-64.168803
-8.9983282,62.915019,-53.916691
-29.516565,67.393014,-37.87645
-47.15026,66.025269,-18.875009
-59.528287,58.18535,1.3429371
-66.248534,44.114833,22.133701
-67.105596,25.387189,41.718407
-61.421177,4.9351286,56.486048
-49.162419,-15.84125,65.003669
-32.215437,-35.115116,67.330553
-12.507124,-51.610535,64.117659
8.8999155,-62.829097,53.929181
29.506498,-67.33619,37.829692
47.193747,-65.976662,18.782915
59.53373,-58.13279,-1.4009401
66.167779,-44.125775,-22.042004
67.043063,-25.456818,-41.586245
61.386809,-4.9339366,-56.452872
49.104881,15.905797,-65.010678
32.152926,35.148718,-67.301643
12.557315,51.525545,-64.082861
-8.7681863,62.735406,-53.967219
-29.462668,67.284344,-37.821676
-47.214588,65.939296,-18.724708
-59.560296,58.106401,1.4538948
-66.107901,44.139969,21.967932
-66.987223,25.547938,41.439285
-61.382268,4.9764389,56.405829
-49.07091,-15.942377,65.013286
-32.098143,-35.194839,67.292983
-12.596737,-51.464591,64.061329
8.6221093,-62.639709,54.017599
29.38874,-67.237901,37.849161
47.219913,-65.911195,18.691282
59.602942,-58.092868,-1.5100736
66.066655,-44.145283,-21.921371
66.933215,-25.649373,-41.283842
61.394146,-5.0484213,-56.345725
49.0483,15.958691,-65.006991
32.043268,35.251838,-67.295107
12.611849,51.43449,-64.046339
-8.4730729,62.540425,-54.067352
-29.295558,67.197865,-37.902307
-47.214824,65.881698,-18.666874
-59.6515,58.07906,1.5724406
-66.04333,44.138795,21.904535
-66.879585,25.748924,41.130661
-61.411063,5.1346693,56.276394
-49.031784,-15.965571,64.997354
-31.987514,-35.316748,67.304262
-12.601378,-51.432547,64.033925
8.3377152,-62.448616,54.1109
29.191691,-67.161834,37.970143
47.206093,-65.852412,18.646319
59.709424,-58.070592,-1.6388318
66.047712,-44.12389,-21.923822
66.835204,-25.830717,-41.004487
61.432607,-5.2300123,-56.202594
49.026336,15.966176,-64.992513
31.933978,35.390553,-67.324531
12.565104,51.467376,-64.03248
-8.2393643,62.386709,-54.147345
-29.084829,67.131598,-38.046769
-47.197283,65.839677,-18.642394
-59.780045,58.0731,1.7069452
-66.087981,44.099943,21.988039
-66.809987,25.887553,40.922433
-61.461552,5.3262077,56.135344
-49.042777,-15.959869,65.002646
-31.881598,-35.477236,67.358834
-12.499175,-51.544763,64.043938
8.1842602,-62.356648,54.172388
28.989823,-67.112726,38.122903
47.189911,-65.843753,18.653842
59.86343,-58.077685,-1.785745
66.159086,-44.060787,-22.098299
66.804304,-25.918423,-40.885881
61.489756,-5.4082908,-56.081465
49.068565,15.953442,-65.022007
31.819535,35.576816,-67.396351
12.404461,51.654822,-64.059283
-8.1757485,62.354006,-54.178257
-28.913705,67.093107,-38.179403
-47.186642,65.852717,-18.666074
-59.943493,58.065177,1.878316
-66.237288,43.997893,22.239395
-66.804083,25.913677,40.890405
-61.492129,5.4622558,56.029874
-49.08637,-15.948087,65.034456
-31.744054,-35.6724,67.416454
-12.280025,-51.773358,64.053383
8.2129422,-62.366158,54.153215
28.852758,-67.054832,38.202074
47.168939,-65.842666,18.673727
59.997204,-58.026576,-1.970628
66.301572,-43.907612,-22.39396
66.789076,-25.870576,-40.918501
61.458142,-5.4875241,-55.970618
49.092404,15.924019,-65.016423
31.661342,35.745656,-67.406999
12.136063,51.879957,-64.016021
-8.2745938,62.371835,-54.097241
-28.790803,66.990762,-38.199959
-47.11548,65.807603,-18.692124
-60.017811,57.967043,2.0507674
-66.337098,43.798625,22.538473
-66.75262,25.802845,40.949774
-61.397785,5.5083578,55.889427
-49.099598,-15.867947,64.967545
-31.5888,-35.78231,67.371111
-12.000336,-51.957946,63.958282
8.3398898,-62.372625,54.032735
28.715205,-66.910441,38.195236
47.025393,-65.757432,18.732039
60.007428,-57.909088,-2.09834
66.349102,-43.700347,-22.648756
66.711596,-25.732052,-40.979543
61.341234,-5.5395994,-55.801635
49.121525,15.779538,-64.901064
31.548913,35.772513,-67.321426
11.897408,52.004668,-63.902076
-8.4000059,62.383542,-53.983536
-28.636607,66.83787,-38.201263
-46.908211,65.705352,-18.797141
-59.969777,57.876978,2.0927993
-66.356111,43.634451,22.721661
-66.687102,25.668517,41.018586
-61.308389,5.5793373,55.729052
-49.162267,-15.664239,64.826506
-31.555791,-35.71765,67.273441
-11.835583,-52.030543,63.866125
8.4617358,-62.415484,53.953748
28.566404,-66.783912,38.217508
46.776238,-65.663217,18.886978
59.917194,-57.875885,-2.0413096
66.362769,-43.599365,-22.763404
66.679966,-25.605764,-41.074202
61.29618,-5.6175903,-55.67859
49.215461,15.531901,-64.747362
31.598564,35.633839,-67.232404
11.803467,52.040937,-63.844404
-8.5272611,62.461092,-53.933831
-28.516816,66.75184,-38.235024
-46.639267,65.62722,-18.987953
-59.854766,57.892213,1.962553
-66.366943,43.582586,22.784357
-66.681276,25.545544,41.135732
-61.29266,5.6402363,55.652423
-49.265653,-15.398932,64.664585
-31.662419,-35.532389,67.194808
-11.787643,-52.040948,63.828592
8.5906092,-62.5084,53.91779
28.496531,-66.741948,38.245418
46.507507,-65.589113,19.081606
59.781802,-57.914796,-1.8670062
66.366454,-43.581246,-22.785208
66.684669,-25.486426,-41.198243
61.291261,-5.636721,-55.65454
49.307082,15.281879,-64.588962
31.737779,35.422042,-67.159821
11.787416,52.028594,-63.81601
-8.6555168,62.559149,-53.903632
-28.514706,66.756563,-38.241857
-46.393354,65.550334,-19.15698
-59.709165,57.945067,1.7640985
-66.36962,43.598768,22.770852
-66.693062,25.424855,41.268207
-61.292324,5.6031642,55.68916
-49.33812,-15.191784,64.529904
-31.818962,-35.313451,67.132413
-11.80308,-52.011273,63.814353
8.7285921,-62.623083,53.894491
28.57777,-66.798016,38.220245
46.310835,-65.525803,19.214969
59.647512,-57.982916,-1.6645953
66.381914,-43.631945,-22.749969
66.714645,-25.367455,-41.347191
61.303109,-5.5416638,-55.761445
49.364735,15.136039,-64.500774
31.895951,35.222255,-67.118206
11.827127,51.993966,-63.821093
-8.8033274,62.696151,-53.892824
-28.684533,66.867033,-38.182499
-46.269073,65.520194,-19.251121
-59.603558,58.015041,1.5885169
-66.400649,43.67203,22.728619
-66.747404,25.317944,41.42946
-61.317308,5.4492911,55.868017
-49.375512,-15.12501,64.500522
-31.95214,-35.157595,67.109735
-11.85562,-51.977986,63.833606
8.8793969,-62.767322,53.887925
28.826018,-66.946312,38.120294
46.27228,-65.521142,19.248863
59.565799,-58.022136,-1.5436631
66.412399,-43.706553,-22.705846
66.777216,-25.267118,-41.510098
61.309215,-5.3227922,-55.986423
49.356879,15.16003,-64.516909
31.979157,35.107185,-67.086342
11.878585,51.950615,-63.8292
-8.95925,62.823001,-53.863751
-28.985835,67.010302,-38.024467
-46.298378,65.504279,-19.205901
-59.516485,57.996172,1.520313
-66.402535,43.723509,22.679027
-66.783102,25.209054,41.574048
-61.264636,5.1717614,56.092874
-49.30851,-15.219165,64.527675
-31.981561,-35.053758,67.03532
-11.895853,-51.899063,63.794916
9.026436,-62.845089,53.818653
29.135966,-67.044922,37.908955
46.330156,-65.469051,19.138895
59.448002,-57.941584,-1.5064178
66.358109,-43.724752,-22.633357
66.760433,-25.157439,-41.602994
61.194483,-5.0275825,-56.1669
49.247699,15.284987,-64.532686
31.974542,34.989923,-66.964464
11.924533,51.814834,-63.739366
-9.0567926,62.83167,-53.774877
-29.253038,67.055875,-37.802838
-46.366131,65.428673,-19.062542
-59.367321,57.879437,1.4878834
-66.288687,43.732291,22.556395
-66.7176,25.13489,41.58271
-61.129044,4.9165555,56.212489
-49.192194,-15.353057,64.545251
-31.976053,-34.916021,66.892074
-11.97916,-51.703139,63.682299
9.0403213,-62.793879,53.753558
29.329147,-67.058137,37.728989
46.411626,-65.399289,18.987663
59.289744,-57.834804,-1.4549406
66.214819,-43.76067,-22.454149
66.676444,-25.148226,-41.528218
61.089323,-4.8524863,-56.236837
49.152291,15.421145,-64.573435
31.992954,34.843506,-66.83646
12.058837,51.580387,-63.639224
-8.9891063,62.74583,-53.756723
-29.364783,67.059325,-37.694542
-46.467359,65.390665,-18.923306
-59.231629,57.813078,1.4185511
-66.143481,43.802693,22.340788
-66.640293,25.187519,41.452774
-61.073545,4.832237,56.241308
-49.127646,-15.48707,64.614716
-32.014614,-34.790876,66.80549
-12.147397,-51.456958,63.604355
8.9167119,-62.690035,53.773323
29.369063,-67.061275,37.692212
46.529241,-65.39478,18.865539
59.199917,-57.805085,-1.3948319
66.074094,-43.845949,-22.228145
66.60443,-25.246504,-41.357926
61.069956,-4.8402281,-56.229728
49.106411,15.554841,-64.661252
32.026914,34.767148,-66.794062
12.231448,51.340768,-63.572216
-8.8277356,62.623327,-53.795591
-29.354241,67.066319,-37.712078
-46.596147,65.40179,-18.805643
-59.195595,57.800072,1.3955227
-66.005409,43.885527,22.119882
