IsLa [A],IsLb [A],IsLc [A]
11.028876,-59.334831,48.305955
45.666616,-73.9594,28.292784
35.878151,-24.714217,-11.163934
87.334467,-81.201342,-6.133124
69.086398,-56.86738,-12.219018
83.113684,-9.9534486,-73.160235
72.566485,-4.5902397,-67.976245
9.3353248,47.04207,-56.377394
24.525712,41.902839,-66.428551
-15.385486,68.514748,-53.129262
-11.061393,59.342265,-48.280872
-45.683626,74.020098,-28.336472
-35.866448,24.787472,11.078976
-87.463442,81.302462,6.1609791
-69.153469,56.862988,12.290481
-83.119794,9.9428485,73.176945
-72.588984,4.5411627,68.047821
-9.4681132,-46.990633,56.458746
-24.573838,-41.978989,66.552827
15.373833,-68.568332,53.194499
11.12622,-59.362455,48.236235
45.742118,-74.074328,28.332209
35.864547,-24.846301,-11.018245
87.603956,-81.380721,-6.2232349
69.216241,-56.845017,-12.371225
83.114985,-9.8959113,-73.219074
72.558964,-4.4448352,-68.114129
9.5723836,46.959,-56.531384
24.598384,42.065651,-66.664036
-15.395147,68.635582,-53.240435
-11.200594,59.367053,-48.166459
-45.818367,74.095613,-28.277246
-35.858706,24.88013,10.978576
-87.727012,81.428899,6.2981133
-69.251494,56.819361,12.432133
-83.087421,9.8183763,73.269045
-72.474736,4.3381586,68.136577
-9.6432805,-46.944077,56.587358
-24.609166,-42.137139,66.746305
15.432082,-68.695267,53.263185
11.257423,-59.351182,48.093759
45.876013,-74.071259,28.195246
35.85042,-24.893995,-10.956425
87.821133,-81.464611,-6.3565221
69.26366,-56.806074,-12.457586
83.045802,-9.7408008,-73.305001
72.363064,-4.2504047,-68.112659
9.6881517,46.931675,-56.619827
24.630783,42.166817,-66.797599
-15.456788,68.738672,-53.281884
-11.27913,59.32406,-48.04493
-45.898252,74.013711,-28.115459
-35.826962,24.892825,10.934137
-87.892266,81.515037,6.3772292
-69.270793,56.825533,12.44526
-83.014501,9.6884254,73.326075
-72.25698,4.1955721,68.061408
-9.7230323,-46.905209,56.628241
-24.674789,-42.156397,66.831186
15.44856,-68.767199,53.318639
11.269569,-59.299702,48.030133
45.885096,-73.941785,28.056689
35.778072,-24.884256,-10.893816
87.943885,-81.5799,-6.3639841
69.289006,-56.880254,-12.408752
83.008114,-9.668699,-73.339415
72.17985,-4.1778158,-68.002034
9.7607648,46.860717,-56.621481
24.735179,42.124669,-66.859848
-15.407608,68.787554,-53.379946
-11.234249,59.28171,-48.04746
-45.848218,73.874318,-28.0261
-35.713937,24.872703,10.841234
-87.97625,81.647478,6.3287724
-69.323463,56.955901,12.367562
-83.028429,9.6820441,73.346385
-72.13356,4.1895082,67.944052
-9.797061,-46.805196,56.602257
-24.801265,-42.080246,66.881511
15.336696,-68.795276,53.45858
11.181316,-59.272221,48.090905
45.802708,-73.824633,28.021925
35.642829,-24.850265,-10.792565
87.991543,-81.704545,-6.2869973
69.368059,-57.03674,-12.331319
83.072612,-9.7290432,-73.343569
72.111464,-4.2150104,-67.896453
9.8266383,46.74192,-56.568558
24.861105,42.035991,-66.897096
-15.239455,68.78841,-53.548954
-11.130749,59.285419,-48.154669
-45.755278,73.792945,-28.037666
-35.576752,24.8188,10.757951
-88.003161,81.755,6.2481617
-69.428492,57.117331,12.31116
-83.14912,9.8113466,73.337774
-72.113998,4.2405312,67.873467
-9.8527791,-46.676212,56.528991
