IsLa [A],IsLb [A],IsLc [A]
23.401132,-69.820971,46.419839
44.177936,-71.529314,27.351378
57.104911,-61.636211,4.5312993
70.979842,-55.204486,-15.775355
72.17875,-38.568184,-33.610567
65.480864,-8.7796955,-56.701169
67.784952,1.9732705,-69.758223
38.106478,32.917823,-71.024301
22.223645,49.484826,-71.708471
-5.0358236,70.249075,-65.213252
-21.2513,62.934908,-41.683608
-48.812519,74.609346,-25.796827
-49.432562,46.323705,3.1088562
-77.596819,61.728067,15.868752
-71.157532,45.696593,25.460939
-60.203913,-0.98964609,61.193559
-83.181845,6.7048386,76.477006
-33.466367,-37.334111,70.800478
-22.642846,-50.2782,72.921047
10.774841,-78.313061,67.53822
19.985927,-57.227117,37.24119
53.185161,-77.490164,24.305003
43.987778,-35.087948,-8.8998301
82.284739,-66.133192,-16.151547
70.384166,-49.533679,-20.850488
57.707696,5.2593604,-62.967056
87.720398,-9.3141255,-78.406272
31.686187,38.477123,-70.16331
22.161349,50.053986,-72.215335
-12.106529,78.253688,-66.14716
-20.816425,56.929747,-36.113323
-54.061183,77.080709,-23.019526
-44.777717,34.530766,10.24695
-82.942338,65.34142,17.600918
-70.853984,48.637355,22.216629
-58.14258,-6.114415,64.256995
-88.01666,8.3063068,79.710353
-31.784341,-39.403385,71.187726
-22.125064,-50.895746,73.02081
12.142654,-79.009452,66.866798
20.794399,-57.548259,36.753859
54.064957,-77.615188,23.550231
44.667385,-34.843175,-9.8242093
82.722603,-65.542635,-17.179969
70.466173,-48.780966,-21.685207
57.77904,5.9269,-63.70594
87.564925,-8.4014078,-79.163517
31.269527,39.260361,-70.529889
21.497338,50.696748,-72.194086
-12.760968,78.753894,-65.992926
-21.316621,57.273586,-35.956965
-54.62054,77.29848,-22.677939
-45.188675,34.431965,10.75671
-83.106613,64.91447,18.192143
-70.693239,48.12236,22.57088
-58.01807,-6.5336711,64.551741
-87.746459,7.7328583,80.013601
-31.294953,-39.910553,71.205506
-21.400789,-51.267052,72.667841
12.847568,-79.248054,66.400486
21.298917,-57.667328,36.368411
54.623636,-77.661528,23.037891
45.130733,-34.652701,-10.478031
82.954439,-65.029165,-17.925274
70.410892,-48.223314,-22.187578
57.790776,6.3836861,-64.174462
87.504047,-7.8547921,-79.649255
31.000826,39.774859,-70.775685
20.984676,51.100532,-72.085208
-13.249284,79.044014,-65.79473
-21.607623,57.451801,-35.844178
-54.937093,77.438091,-22.500998
-45.447141,34.391051,11.05609
-83.194272,64.602881,18.591392
-70.527281,47.768221,22.75906
-57.952609,-6.7737533,64.726362
-87.658348,7.4358483,80.2225
-31.057822,-40.18723,71.245052
-20.910773,-51.4862,72.396973
13.315755,-79.373588,66.057833
21.593164,-57.717079,36.123915
54.915722,-77.705386,22.789664
45.409581,-34.580154,-10.829427
83.113784,-64.706528,-18.407255
70.33937,-47.826729,-22.512641
57.818725,6.6427218,-64.461447
87.538732,-7.5490253,-79.989707
30.924191,40.058424,-70.982615
20.648747,51.371285,-72.020032
-13.56228,79.213414,-65.651134
-21.773846,57.560013,-35.786167
-55.09015,77.569786,-22.479636
-45.603703,34.428028,11.175676
-83.273512,64.4289,18.844612
-70.401842,47.486441,22.915401
-57.916316,-6.8932189,64.809535
-87.650621,7.2581862,80.392435
-31.005255,-40.313545,71.3188
-20.601037,-51.645708,72.246745
13.612761,-79.43063,65.817869
21.776734,-57.755072,35.978339
55.074891,-77.781808,22.706918
45.586426,-34.591306,-10.995119
83.251463,-64.529187,-18.722276
70.296353,-47.493504,-22.802849
57.837586,6.7871947,-64.62478
87.587943,-7.3034329,-80.28451
30.982302,40.202431,-71.184733
20.456565,51.585755,-72.04232
-13.785563,79.334238,-65.548675
-21.911104,57.667856,-35.756752
-55.197651,77.72736,-22.529708
-45.717237,34.522945,11.194292
-83.403794,64.376049,19.027745
-70.363551,47.21994,23.14361
-57.91645,-6.9505022,64.866952
-87.650246,7.0373807,80.612865
-31.085469,-40.384361,71.46983
-20.439897,-51.82446,72.264357
13.863515,-79.531253,65.667738
21.961217,-57.834626,35.873409
55.237524,-77.927635,22.690111
45.733305,-34.670233,-11.063072
83.470731,-64.478345,-18.992387
70.337799,-47.181771,-23.156028
57.888239,6.8910839,-64.779323
87.579116,-6.9756592,-80.603457
31.095133,40.348711,-71.443844
20.355229,51.846418,-72.201647
-14.033967,79.524753,-65.490786
-22.109263,57.791201,-35.681938
