IsLa [A],IsLb [A],IsLc [A]
69.191684,-101.94221,32.750527
90.853948,-92.467699,1.6137513
103.45812,-72.563306,-30.894813
105.42697,-44.935379,-60.491593
98.072338,-14.247829,-83.824509
81.589172,18.196114,-99.785286
56.974482,49.377302,-106.35178
26.576598,76.034741,-102.61134
-5.4473837,93.886267,-88.438884
-36.930774,102.60126,-65.670484
-65.439027,102.2043,-36.765276
-87.036447,92.426374,-5.3899272
-99.816879,72.750626,27.066254
-101.85844,45.220606,56.637836
-94.344205,14.424281,79.919924
-77.748783,-17.792538,95.541321
-53.225762,-48.767026,101.99279
-23.057775,-75.325065,98.38284
8.8495115,-93.355137,84.505625
40.183366,-102.0386,61.855238
68.292065,-101.30399,33.011925
89.63159,-91.40157,1.7699794
102.52498,-71.941735,-30.58324
104.71885,-44.539255,-60.179595
97.054526,-13.641183,-83.413343
80.219539,18.454732,-98.674271
55.57434,49.313389,-104.88773
25.315541,75.895201,-101.21074
-6.6451879,94.086042,-87.440854
-38.106855,102.75656,-64.649704
-66.011087,101.6084,-35.597313
-87.168882,91.470688,-4.3018062
-100.03958,72.012616,28.026967
-102.39639,44.776771,57.619618
-94.704878,13.728265,80.976613
-77.720736,-18.290089,96.010825
-53.093559,-48.925126,102.01869
-22.963063,-75.316592,98.279655
8.9234751,-93.621867,84.698392
40.402642,-102.37419,61.971548
68.066377,-100.99541,32.929033
88.891156,-90.651887,1.7607318
101.62919,-71.164724,-30.464468
104.08329,-44.073455,-60.009834
96.38386,-12.96667,-83.41719
79.159395,19.083709,-98.243103
54.412156,49.523393,-103.93555
24.221109,75.732367,-99.953476
-7.6674079,94.070491,-86.403083
-39.201208,102.86095,-63.659741
-66.795649,101.28133,-34.485684
-87.384301,90.663975,-3.2796734
-99.893139,71.08311,28.81003
-102.4383,44.144837,58.29346
-94.798052,13.015706,81.782346
-77.510549,-19.04122,96.551769
-52.77122,-49.270104,102.04132
-22.682243,-75.220118,97.902361
9.1362813,-93.528655,84.392373
40.617619,-102.47039,61.852768
68.158868,-100.8962,32.737332
88.536896,-90.071019,1.5341233
100.80893,-70.439077,-30.369853
103.3929,-43.600305,-59.792596
95.805697,-12.488948,-83.316749
78.522512,19.583804,-98.106317
53.627945,49.743813,-103.37176
23.505529,75.481022,-98.986551
-8.2770249,93.72895,-85.451925
-39.750993,102.76679,-63.015799
-67.330961,101.1947,-33.863737
-87.668463,90.208008,-2.5395454
-99.703236,70.488076,29.21516
-102.25107,43.695391,58.555676
-94.756833,12.625192,82.131641
-77.603692,-19.429714,97.033407
-52.636187,-49.584491,102.22068
-22.555808,-75.137976,97.693784
9.1222924,-93.258513,84.136221
40.574122,-102.3988,61.824681
68.205928,-100.98458,32.778657
88.543645,-89.961946,1.4183007
100.37825,-70.078242,-30.300008
102.82921,-43.312031,-59.517178
95.39988,-12.285009,-83.114871
78.318347,19.810138,-98.128486
53.243174,50.032193,-103.27537
23.040428,75.505471,-98.5459
-8.5687172,93.426883,-84.858166
-40.062513,102.56857,-62.506055
-67.75242,101.25857,-33.506154
-88.169137,90.213991,-2.0448532
-99.839201,70.107343,29.731859
-102.09909,43.307304,58.791782
-94.653687,12.318533,82.335154
-77.627211,-19.814778,97.441989
-52.551904,-50.051292,102.6032
-22.271866,-75.448386,97.720252
9.2829132,-93.150638,83.867724
40.675057,-102.17843,61.503373
68.363783,-101.00027,32.636487
88.823751,-89.977122,1.1533709
100.35529,-69.712253,-30.643038
102.4039,-42.856836,-59.547061
94.880097,-11.958636,-82.921461
77.885706,20.177719,-98.063425
52.823614,50.446753,-103.27037
22.473996,75.808706,-98.282702
-9.0754301,93.303649,-84.228218
-40.349649,102.15616,-61.806511
-68.039544,101.08473,-33.04519
-88.581667,90.071231,-1.4895635
-100.05869,69.765441,30.293245
-101.92081,42.815543,59.10527
-94.295258,11.971153,82.324105
-77.360627,-20.091675,97.452302
-52.365337,-50.406482,102.77182
-22.036259,-75.753062,97.789321
9.5443828,-93.149956,83.605573
40.673305,-101.81746,61.144158
68.310109,-100.81682,32.50671
88.950548,-89.86478,0.91423244
100.4471,-69.634433,-30.812664
102.1568,-42.547162,-59.60964
94.404339,-11.727766,-82.676574
77.516694,20.210268,-97.726963
52.546338,50.602835,-103.14917
22.262207,75.969504,-98.231711
-9.3801243,93.348864,-83.96874
-40.427119,101.82532,-61.398205
-67.995743,100.80308,-32.807341
-88.732294,89.961604,-1.2293105
-100.32285,69.813825,30.509022
-101.95796,42.616007,59.341949
