IsLa [A],IsLb [A],IsLc [A]
64.506053,-112.26091,47.754861
88.351538,-104.10297,15.751428
106.1785,-84.74958,-21.428922
111.48561,-62.749905,-48.735703
109.46949,-28.618533,-80.850956
87.943193,8.8756404,-96.818833
84.854742,34.901178,-119.75592
37.217091,66.058615,-103.27571
3.3356164,101.14198,-104.4776
-26.036757,105.52771,-79.490951
-67.624901,104.05614,-36.431238
-79.975047,99.570601,-19.595554
-103.61829,74.191194,29.4271
-107.5087,70.240152,37.26855
-110.19555,32.286521,77.909031
-78.790137,-9.9686805,88.758818
-110.33605,-24.084405,134.42046
-36.653146,-57.370328,94.023474
-3.3818953,-106.54086,109.92276
20.341146,-101.04483,80.703685
69.89316,-97.613454,27.720294
72.205231,-96.506271,24.30104
100.73338,-66.60127,-34.132111
104.32797,-75.605716,-28.722256
109.30851,-34.697223,-74.611286
73.864674,9.9346807,-83.799354
117.70019,20.329384,-138.02958
35.211613,55.059878,-90.271491
2.3949431,106.49755,-108.8925
-21.569166,100.16659,-78.597426
-70.911356,97.18973,-26.278375
-73.560822,96.035287,-22.474465
-101.97853,65.861784,36.116745
-105.39683,74.563111,30.833718
-110.27439,33.78612,76.488272
-74.884884,-10.782923,85.667807
-118.62843,-21.59355,140.22198
-35.651323,-56.232009,91.883331
-2.7303179,-107.5426,110.27292
21.229301,-101.01797,79.788667
70.315655,-97.92491,27.609255
73.206361,-96.799509,23.593148
101.50032,-66.304197,-35.196126
104.69058,-74.716838,-29.973739
109.39345,-34.023955,-75.369496
74.165836,10.324919,-84.490755
117.81154,21.335455,-139.147
34.797911,55.937788,-90.735699
1.690283,107.11695,-108.80723
-22.167249,100.45901,-78.291758
-70.934317,97.462579,-26.528262
-73.964416,96.375522,-22.411106
-102.31076,65.801786,36.508975
-105.29247,73.859414,31.433058
-109.79451,33.186947,76.607561
-74.646312,-10.970793,85.617106
-118.44106,-22.068558,140.50962
-35.174187,-56.641239,91.815426
-1.7532855,-107.86983,109.62311
22.02555,-100.96128,78.93573
70.581889,-97.91288,27.330991
73.58154,-96.862185,23.280645
102.01144,-66.260593,-35.75085
104.85252,-74.068845,-30.783675
109.14867,-33.320854,-75.82782
74.121684,10.636659,-84.758343
118.08857,21.714563,-139.80313
34.858101,56.21791,-91.076011
1.1802524,107.56981,-108.75006
-22.586005,100.51683,-77.930823
-70.963848,97.53244,-26.568592
-73.929165,96.58158,-22.652415
-102.42449,66.087251,36.337235
-105.30085,73.644541,31.656313
-109.41935,32.760454,76.658892
-74.389998,-11.076664,85.466662
