IsLa [A],IsLb [A],IsLc [A]
22.264825,-59.456327,37.191502
39.07524,-60.659654,21.584414
51.933522,-55.365682,3.4321601
60.514655,-43.987215,-16.52744
63.391726,-28.51887,-34.872856
59.921501,-10.753349,-49.168151
49.776342,8.9243446,-58.700687
35.074799,27.740465,-62.815264
18.162199,43.238793,-61.400992
-0.53678922,54.127424,-53.590635
-19.804558,60.382815,-40.578257
-36.878399,61.404399,-24.526
-49.834952,56.195876,-6.3609241
-58.118256,44.695511,13.422744
-60.769455,29.091794,31.677661
-57.462467,11.312376,46.150091
-47.539807,-8.0747106,55.614518
-32.95578,-26.782355,59.738135
-15.986807,-42.437279,58.424086
2.5737216,-53.373684,50.799963
21.745284,-59.585302,37.840018
38.769649,-60.521301,21.751652
51.744015,-55.335109,3.5910939
59.767755,-43.793116,-15.974638
62.279721,-28.207122,-34.072599
59.018956,-10.455041,-48.563915
49.099527,8.7107322,-57.810259
34.473991,27.391395,-61.865386
17.450828,43.102968,-60.553797
-1.0343178,54.029829,-52.995511
-20.209634,60.118597,-39.908963
-37.263104,60.962191,-23.699087
-50.333869,55.83979,-5.5059208
-58.14575,44.252486,13.893264
-60.598229,28.640553,31.957676
-57.374076,10.860017,46.514059
-47.602413,-8.0997049,55.702118
-33.043407,-26.744088,59.787495
-16.054209,-42.428169,58.482378
2.387742,-53.427968,51.040226
21.44495,-59.449578,38.004629
38.425127,-60.254842,21.829715
51.506583,-55.123897,3.617314
59.109498,-43.534546,-15.574952
61.527118,-27.964678,-33.56244
58.275261,-10.211085,-48.064176
48.531908,8.6090722,-57.14098
33.930284,27.23661,-61.166894
16.969601,42.878683,-59.848283
-1.4820765,53.920468,-52.438391
-20.480183,59.801466,-39.321283
-37.493152,60.58363,-23.090478
-50.593826,55.437733,-4.8439069
-58.042566,43.858212,14.184354
-60.452838,28.252057,32.200781
-57.187345,10.532964,46.65438
-47.547595,-8.2032855,55.75088
-32.978116,-26.769547,59.747663
-16.076069,-42.372941,58.44901
2.387357,-53.481921,51.094564
21.252414,-59.271728,38.019314
38.249769,-60.066114,21.816344
51.290866,-54.858423,3.5675571
58.626847,-43.320315,-15.306533
61.007424,-27.718968,-33.288456
57.706768,-10.072371,-47.634396
48.083353,8.6323807,-56.715733
33.497998,27.115575,-60.613574
16.632592,42.715378,-59.34797
-1.8664301,53.839266,-51.972836
-20.643441,59.512321,-38.868881
-37.707841,60.313133,-22.605292
-50.66738,55.052798,-4.385418
-57.95816,43.54564,14.41252
-60.294066,27.904488,32.389578
-56.999219,10.324923,46.674296
-47.423108,-8.3799053,55.803014
-32.880414,-26.752144,59.632558
-16.039015,-42.382886,58.421901
2.4660723,-53.506225,51.040153
21.138011,-59.129649,37.991638
38.212814,-59.922653,21.709839
51.057413,-54.608219,3.5508062
58.328215,-43.129404,-15.198811
60.591977,-27.504484,-33.087493
57.306001,-9.9823692,-47.323632
47.711712,8.719554,-56.431266
33.192423,26.988056,-60.180479
16.340521,42.676096,-59.016617
-2.1535497,53.736896,-51.583347
-20.786188,59.326226,-38.540038
-37.887001,60.079228,-22.192227
-50.638805,54.74421,-4.105405
-57.915437,43.259889,14.655548
-60.108102,27.647009,32.461093
-56.848411,10.137861,46.71055
-47.24925,-8.5504303,55.79968
-32.801621,-26.722069,59.52369
-15.917892,-42.478375,58.396267
2.5230824,-53.469406,50.946324
21.136162,-59.077649,37.941487
38.185852,-59.771315,21.585463
50.874303,-54.42799,3.5536864
58.13773,-42.928652,-15.209078
60.265694,-27.36805,-32.897644
57.019393,-9.8540199,-47.165373
47.378885,8.7936032,-56.172489
32.990232,26.906453,-59.896686
16.054814,42.714305,-58.769119
-2.323908,53.626384,-51.302477
-20.969974,59.244355,-38.274381
-37.950455,59.858008,-21.907553
-50.628971,54.528705,-3.8997341
-57.859407,42.987795,14.871612
-59.946422,27.474105,32.472317
-56.711725,9.9257874,46.785937
-47.060673,-8.6506653,55.711339
-32.735043,-26.751703,59.486747
-15.762042,-42.57421,58.336252
2.5579351,-53.44733,50.889395
21.229646,-59.076408,37.846762
38.102577,-59.620225,21.517648
50.797054,-54.299917,3.5028627
57.963218,-42.722664,-15.240554
60.037938,-27.272613,-32.765325
56.784324,-9.6924787,-47.091845
47.128175,8.7971414,-55.925316
32.823601,26.934163,-59.757763
15.837643,42.724858,-58.562501
-2.459078,53.590575,-51.131497
-21.153162,59.187303,-38.034141
-37.937306,59.679222,-21.741916
-50.668583,54.36089,-3.6923073
-57.751357,42.748999,15.002358
-59.842293,27.335719,32.506575
-56.555653,9.728975,46.826678
-46.93209,-8.6810411,55.613131
-32.62523,-26.878661,59.503891
-15.662156,-42.604609,58.266765
2.6457031,-53.506137,50.860434
21.31845,-59.047081,37.728631
38.028647,-59.515672,21.487026
50.780787,-54.177884,3.3970966
57.775241,-42.559115,-15.216126
59.904315,-27.172051,-32.732264
56.569231,-9.5738411,-46.99539
46.977385,8.7911872,-55.768572
32.64203,27.041426,-59.683456
15.717561,42.699684,-58.417245
-2.6277469,53.641246,-51.013499
-21.257244,59.096211,-37.838967
-37.942022,59.567422,-21.6254
-50.694054,54.190765,-3.4967113
-57.618162,42.583504,15.034658
-59.783385,27.182467,32.600918
-56.41082,9.627557,46.783263
-46.855843,-8.7415205,55.597363
-32.493057,-27.010699,59.503756
-15.608939,-42.624297,58.233236
2.7790738,-53.599489,50.820415
21.336722,-58.967818,37.631096
38.026596,-59.465659,21.439064
50.737475,-54.034453,3.2969782
57.628936,-42.456333,-15.172603
59.803828,-27.032486,-32.771343
56.410165,-9.5493944,-46.86077
46.873082,8.8640746,-55.737156
32.489046,27.112471,-59.601517
15.630327,42.718969,-58.349296
-2.7956857,53.693508,-50.897822
-21.27665,58.98286,-37.70621
-38.008426,59.509255,-21.500829
-50.641992,54.024048,-3.3820558
-57.544033,42.472273,15.071761
-59.69887,27.021082,32.677788
-56.319686,9.6114392,46.708247
-46.787053,-8.8652084,55.652261
-32.395628,-27.071072,59.466699
-15.539604,-42.705348,58.244953
2.9029494,-53.645716,50.742766
21.31627,-58.893412,37.577142
38.088589,-59.427343,21.338754
50.626658,-53.906155,3.2794971
57.565684,-42.366627,-15.199058
59.676712,-26.916613,-32.7601
56.334634,-9.5577315,-46.776903
46.782369,8.9730051,-55.755374
32.396154,27.130008,-59.526161
15.518618,42.809615,-58.328234
-2.9082458,53.677984,-50.769738
-21.289712,58.91961,-37.629898
-38.084414,59.4342,-21.349786
-50.54248,53.903562,-3.3610816
-57.523541,42.353634,15.169906
-59.585985,26.927144,32.658841
-56.291857,9.5787391,46.713117
-46.708822,-8.9859026,55.694725
-32.345118,-27.099309,59.444427
-15.425825,-42.82717,58.252996
2.9510568,-53.60876,50.657703
21.340498,-58.87782,37.537322
38.112163,-59.352973,21.240809
50.5291,-53.831882,3.3027818
57.529176,-42.25628,-15.272896
59.556714,-26.874627,-32.682087
56.30678,-9.5015616,-46.805218
46.685929,9.0615485,-55.747477
32.350824,27.154965,-59.505788
15.380622,42.908667,-58.289288
-2.9322112,53.612666,-50.680455
-21.364671,58.91384,-37.549169
-38.070595,59.334156,-21.263562
-50.49595,53.835539,-3.3395887
-57.479832,42.222237,15.257596
-59.499744,26.893375,32.606368
-56.281624,9.4746196,46.807004
-46.635593,-9.0562679,55.691861
-32.318477,-27.162687,59.481164
-15.313167,-42.905757,58.218924
2.9450091,-53.564921,50.619912
21.428894,-58.88998,37.461086
38.047218,-59.262272,21.215053
50.513559,-53.783111,3.2695521
57.448518,-42.135534,-15.312984
59.492679,-26.858763,-32.633916
56.28022,-9.3877688,-46.892452
46.630608,9.0892623,-55.719871
32.304449,27.240627,-59.545076
15.294033,42.92739,-58.221424
-2.9426018,53.586358,-50.643757
-21.458893,58.903149,-37.444256
-38.000977,59.247619,-21.246643
-50.51294,53.775182,-3.2622415
-57.380416,42.104995,15.27542
-59.479267,26.863366,32.615901
-56.248251,9.3481332,46.900118
-46.61901,-9.0767232,55.695733
-32.255506,-27.285246,59.540753
-15.275449,-42.887349,58.162798
2.9805831,-53.584256,50.603673
21.490196,-58.860466,37.370271
37.987099,-59.203301,21.216202
50.52449,-53.719071,3.194582
57.329108,-42.051626,-15.277482
59.502508,-26.823801,-32.678707
56.2351,-9.2913236,-46.943776
46.636044,9.10866,-55.744704
32.221037,27.356882,-59.577919
15.287855,42.876353,-58.164208
-3.0137747,53.62313,-50.609355
-21.482132,58.834342,-37.352209
-37.976769,59.202495,-21.225726
-50.508471,53.687489,-3.1790172
-57.275315,42.045916,15.229398
-59.51636,26.79873,32.717629
-56.212067,9.2842633,46.927803
-46.638426,-9.131889,55.770315
-32.176504,-27.379518,59.556021
-15.288776,-42.846591,58.135367
3.0652148,-53.632144,50.566929
21.469495,-58.772348,37.302853
37.995228,-59.181872,21.186645
50.483227,-53.625076,3.1418486
57.256759,-42.025694,-15.231065
59.532331,-26.740666,-32.791665
56.20855,-9.2687024,-46.939847
46.646046,9.1945017,-55.840548
32.154263,27.39971,-59.553973
15.291212,42.858801,-58.150013
-3.1014406,53.650013,-50.548573
-21.436767,58.734001,-37.297235
-38.016793,59.181524,-21.164732
-50.43192,53.589224,-3.157304
-57.253808,42.032129,15.221679
-59.527831,26.708594,32.819238
-56.211587,9.2810531,46.930534
-46.64036,-9.2390968,55.879457
-32.136498,-27.382125,59.518623
-15.272089,-42.869482,58.141571
3.133765,-53.628579,50.494814
21.417795,-58.689636,37.271841
38.046696,-59.151073,21.104377
50.384104,-53.546911,3.1628076
57.277505,-42.013429,-15.264076
59.524256,-26.672593,-32.851663
56.231123,-9.2650431,-46.96608
46.629685,9.2963709,-55.926056
32.133696,27.375517,-59.509213
15.243387,42.911268,-58.154655
-3.1379404,53.6001,-50.462159
-21.405991,58.676911,-37.27092
-38.055648,59.124584,-21.068936
-50.341107,53.537885,-3.1967784
-57.30737,42.003948,15.303422
-59.51524,26.669085,32.846154
-56.245567,9.2457056,46.999861
-46.604635,-9.328869,55.933504
-32.133699,-27.355219,59.488918
-15.200642,-42.941141,58.141783
3.1246549,-53.545918,50.421263
21.415958,-58.663599,37.247641
38.04354,-59.076924,21.033384
50.327322,-53.533778,3.2064566
57.338498,-41.977504,-15.360994
59.514091,-26.664114,-32.849977
56.259438,-9.1972964,-47.062142
46.579808,9.3569834,-55.936792
32.138104,27.360403,-59.498508
15.156814,42.973228,-58.130042
-3.0981334,53.505998,-50.407865
-21.442524,58.66545,-37.222925
-38.008165,59.036949,-21.028784
-50.341605,53.548055,-3.2064491
-57.359723,41.958184,15.401539
-59.520897,26.673407,32.84749
-56.266431,9.1540236,47.112407
-46.560254,-9.356975,55.917229
-32.133139,-27.373049,59.506188
-15.124947,-42.972205,58.097152
3.0718829,-53.466707,50.394824
21.472443,-58.650896,37.178453
37.964993,-58.996461,21.031468
50.381338,-53.555717,3.1743789
57.373491,-41.937304,-15.436186
59.540448,-26.673153,-32.867295
56.262763,-9.1020833,-47.16068
46.553273,9.3504314,-55.903704
32.116243,27.413592,-59.529835
15.116083,42.954272,-58.070355
-3.0600169,53.45648,-50.396463
-21.491,58.630107,-37.139107
-37.927882,58.975906,-21.048023
-50.430754,53.566646,-3.1358917
-57.377257,41.933708,15.44355
-59.569133,26.673976,32.895157
-56.247367,9.0642319,47.183135
-46.555549,-9.3358087,55.891358
-32.08258,-27.457736,59.540316
-15.126836,-42.913282,58.040118
3.0683323,-53.457066,50.388734
21.491607,-58.588136,37.096529
37.913201,-58.964961,21.051759
50.480129,-53.563984,3.0838555
57.381206,-41.937652,-15.443554
59.605886,-26.661565,-32.944321
56.231567,-9.042133,-47.189434
46.563946,9.3360852,-55.900031
32.045294,27.496392,-59.541686
15.14949,42.874928,-58.024418
-3.0856028,53.46521,-50.379607
-21.469967,58.53714,-37.067173
-37.924306,58.974808,-21.050502
-50.52025,53.558889,-3.0386393
-57.394569,41.959054,15.435515
-59.637772,26.638102,32.99967
-56.218299,9.0458287,47.172471
-46.56739,-9.3539542,55.921344
-32.010438,-27.508361,59.518799
-15.170074,-42.843402,58.013475
3.1065929,-53.463778,50.357185
21.439002,-58.480901,37.041899
37.960005,-58.992615,21.03261
50.542559,-53.545715,3.0031567
57.426248,-41.983636,-15.442612
59.655791,-26.602971,-33.05282
56.212906,-9.0636631,-47.149242
46.562102,9.3915454,-55.953648
31.987259,27.494885,-59.482145
15.178063,42.834907,-58.01297
-3.1208965,53.450357,-50.329461
-21.40646,58.438144,-37.031683
-38.012257,59.016722,-21.004464
-50.547555,53.539394,-2.9918389
-57.47142,42.009968,15.461453
-59.657563,26.577848,33.079715
-56.219586,9.0895995,47.129987
-46.550317,-9.4263464,55.976664
-31.976463,-27.459991,59.436454
-15.169358,-42.839641,58.008999
3.1258878,-53.416561,50.290674
21.386456,-58.414377,37.027921
38.069637,-59.031377,20.96174
50.548111,-53.541857,2.9937465
57.526618,-42.021268,-15.50535
59.652547,-26.566178,-33.086369
56.232729,-9.0983173,-47.134412
46.528921,9.4551458,-55.984067
31.973512,27.423459,-59.396971
15.14592,42.857103,-58.003022
-3.1133877,53.36861,-50.255222
-21.385924,58.418915,-37.032992
-38.112711,59.040025,-20.927314
-50.553037,53.560649,-3.0076116
-57.581331,42.023,15.558331
-59.64187,26.572637,33.069232
-56.244084,9.0874306,47.156654
-46.497969,-9.4684409,55.96641
-31.975488,-27.387706,59.363194
-15.113803,-42.869013,57.982816
3.0879417,-53.316062,50.22812
21.406755,-58.441991,37.035236
38.130771,-59.039474,20.908703
50.57563,-53.58787,3.0122403
57.622227,-42.013404,-15.608823
59.633336,-26.585569,-33.047767
56.25173,-9.0567657,-47.194964
46.464943,9.4622769,-55.92722
31.977511,27.368903,-59.346414
15.07951,42.872159,-57.951669
-3.0605416,53.278409,-50.217867
-21.452527,58.480717,-37.02819
-38.128767,59.039946,-20.911179
-50.620511,53.617776,-2.9972646
-57.645275,41.998297,15.646978
-59.632911,26.598475,33.034437
-56.254294,9.0239318,47.230363
-46.441393,-9.4352023,55.876596
-31.97087,-27.364944,59.335814
-15.057288,-42.85287,57.910158
3.0396087,-53.260599,50.22099
21.501942,-58.517553,37.01561
38.114959,-59.045544,20.930585
50.676465,-53.642039,2.9655733
57.649972,-41.984885,-15.665087
59.638891,-26.603271,-33.03562
56.243405,-8.9906791,-47.252726
46.429149,9.3959942,-55.825144
31.948853,27.379582,-59.328435
15.053198,42.813632,-57.866829
-3.0414719,53.275349,-50.233877
-21.542721,58.548526,-37.005805
-38.108439,59.061522,-20.953082
-50.731777,53.656061,-2.9242833
-57.641586,41.979873,15.661713
-59.652772,26.598182,33.054591
-56.220079,8.9685379,47.251541
-46.428217,-9.3591374,55.787354
-31.909525,-27.401844,59.311369
-15.065951,-42.765745,57.831695
3.0690359,-53.315209,50.246173
21.565057,-58.567974,37.002917
38.11934,-59.08729,20.967949
50.776093,-53.656616,2.8805234
57.627779,-41.983087,-15.644692
59.671001,-26.582044,-33.088956
56.19355,-8.965229,-47.228321
