IsLa [A],IsLb [A],IsLc [A]
21.305672,-59.050992,37.74532
38.168191,-59.537023,21.368832
50.878276,-54.062921,3.184645
57.898136,-42.424275,-15.473861
59.919193,-27.024264,-32.89493
56.677364,-9.4304344,-47.24693
47.007458,9.0452127,-56.052671
32.64336,27.052726,-59.696087
15.600957,42.836365,-58.437322
-2.791538,53.679173,-50.887635
-21.361575,59.071515,-37.709939
-38.148113,59.521833,-21.373721
-50.914253,54.068553,-3.1543005
-57.869261,42.409233,15.460028
-59.921123,27.04822,32.872903
-56.655225,9.4212287,47.233996
-47.017111,-8.9995736,56.016684
-32.632638,-27.073662,59.706301
-15.609024,-42.806167,58.415191
2.8207546,-53.710476,50.889722
21.400659,-59.074705,37.674045
38.139016,-59.516105,21.377089
50.940987,-54.06333,3.1223432
57.830723,-42.4075,-15.423223
59.932099,-27.062575,-32.869524
56.629306,-9.4304114,-47.198894
47.033201,8.9657955,-55.998996
32.613811,27.094044,-59.707855
15.625878,42.776348,-58.402226
-2.8643649,53.750615,-50.88625
-21.418453,59.061098,-37.642645
-38.149123,59.520767,-21.371643
-50.951543,54.046755,-3.0952118
-57.79758,42.420141,15.377439
-59.942471,27.058833,32.883638
-56.604611,9.4591997,47.145411
-47.046147,-8.9582261,56.004373
-32.593176,-27.103846,59.697023
-15.638436,-42.76336,58.401797
2.9163221,-53.79047,50.874148
21.419021,-59.037317,37.618295
38.177227,-59.533707,21.35648
50.938151,-54.024976,3.086825
57.78051,-42.44304,-15.33747
59.938793,-27.044969,-32.893824
56.587245,-9.5035724,-47.083673
47.050928,8.9718434,-56.022771
32.578693,27.095479,-59.674172
15.638652,42.772226,-58.410878
-2.9655977,53.816834,-50.851237
-21.40943,59.014103,-37.604673
-38.215472,59.54461,-21.329138
-50.899951,54.003442,-3.1034902
-57.780272,42.466994,15.313278
-59.917955,27.033715,32.88424
-56.583222,9.5520736,47.031148
-47.049777,-8.9937969,56.043574
-32.571538,-27.077199,59.648737
-15.619695,-42.804813,58.424509
3.007385,-53.82565,50.818265
21.405966,-59.004443,37.598477
38.254128,-59.54344,21.289312
50.851133,-53.990996,3.1398635
57.792549,-42.479875,-15.312674
59.887821,-27.034675,-32.853146
56.588559,-9.5866081,-47.001951
47.037448,9.0179064,-56.055354
32.56956,27.06039,-59.62995
15.583792,42.853722,-58.437514
-3.0292567,53.811878,-50.782621
-21.414903,59.01231,-37.597407
-38.272781,59.529602,-21.25682
-50.803192,53.992327,-3.1891348
-57.807648,42.482012,15.325636
-59.853405,27.053016,32.800389
-56.593306,9.5980123,46.995294
-47.012769,-9.038523,56.051292
-32.571675,-27.050937,59.622611
-15.535456,-42.905744,58.4412
3.0302925,-53.785994,50.755702
21.439498,-59.03196,37.592462
38.262384,-59.504913,21.242529
50.770215,-54.004965,3.23475
57.814762,-42.474289,-15.340473
59.82119,-27.080329,-32.740861
56.595438,-9.5857808,-47.009657
46.982165,9.0503162,-56.032481
32.572803,27.061839,-59.634642
15.481268,42.948758,-58.430025
-3.0218261,53.764524,-50.742698
-21.480571,59.056165,-37.575594
-38.226441,59.474679,-21.248239
-50.760411,54.021579,-3.2611679
-57.807239,42.458723,15.348517
-59.799428,27.109926,32.689502
-56.594662,9.5635609,47.031101
-46.957097,-9.0484799,56.005577
-32.566738,-27.093316,59.660054
-15.440298,-42.969921,58.410219
3.0102137,-53.7528,50.742586
21.519964,-59.073072,37.553108
38.173298,-59.447782,21.274484
50.765749,-54.035196,3.2694468
57.784124,-42.444803,-15.33932
59.788778,-27.134767,-32.654011
56.58368,-9.5338316,-47.049848
46.942133,9.0369998,-55.979133
32.545328,27.147888,-59.693216
15.417395,42.967853,-58.385247
-3.0133028,53.762736,-50.749433
-21.545836,59.07418,-37.528343
-38.120812,59.430293,-21.309481
-50.776155,54.040881,-3.2647266
-57.747529,42.437769,15.30976
-59.791007,27.14933,32.641678
-56.564027,9.5060746,47.057952
-46.937294,-9.0305221,55.967816
-32.506233,-27.214799,59.721033
-15.414192,-42.949628,58.36382
3.0337916,-53.790606,50.756815
21.549127,-59.058712,37.509585
38.080862,-59.423566,21.342703
50.78005,-54.033872,3.2538218
57.706375,-42.441988,-15.264388
59.803554,-27.152738,-32.650817
56.542933,-9.493708,-47.049225
46.939657,9.0379975,-55.977654
32.461217,27.273038,-59.734255
15.422493,42.929158,-58.35165
-3.0603685,53.819652,-50.759283
-21.525031,59.025453,-37.500422
-38.05862,59.426655,-21.368035
-50.770457,54.015178,-3.2447212
-57.673816,42.456689,15.217127
-59.814873,27.136778,32.678095
-56.524581,9.4961118,47.02847
-46.93864,-9.0707491,56.009389
-32.417907,-27.310803,59.72871
-15.430559,-42.920054,58.350613
3.0883176,-53.842539,50.754222
21.485352,-58.985915,37.500563
38.055466,-59.435765,21.380298
50.739755,-53.989801,3.250046
57.660859,-42.477528,-15.183332
59.814955,-27.109256,-32.705698
56.514455,-9.5110709,-47.003384
46.92942,9.1209137,-56.050334
32.386695,27.321624,-59.708319
15.427635,42.930765,-58.358399
-3.1069569,53.84833,-50.741374
-21.438163,58.950058,-37.511894
-38.064555,59.442236,-21.377681
-50.689988,53.966459,-3.2764711
-57.666243,42.496497,15.169745
-59.800958,27.083973,32.716986
-56.519235,9.5270111,46.992223
-46.913977,-9.1737327,56.08771
-32.369242,-27.314619,59.68386
-15.411765,-42.956451,58.368217
3.1114112,-53.83199,50.720579
21.397078,-58.928001,37.530923
38.076403,-59.437232,21.360829
50.637154,-53.953452,3.3162977
57.685853,-42.50291,-15.182943
59.780003,-27.068996,-32.711007
56.530979,-9.5251195,-47.00586
46.889261,9.2209791,-56.11024
32.3616,27.30382,-59.66542
15.383728,42.990178,-58.373905
-3.09347,53.79386,-50.70039
-21.371749,58.924834,-37.553086
-38.073139,59.420277,-21.347138
-50.591978,53.954606,-3.3626282
-57.708968,42.496265,15.212704
-59.759011,27.066902,32.692109
-56.541777,9.4995305,47.042246
-46.855926,-9.2571886,56.113115
-32.36181,-27.296428,59.658238
-15.350509,-43.019135,58.369644
3.0557231,-53.745303,50.689579
21.36495,-58.935271,37.570321
38.045027,-59.393823,21.348795
50.567762,-53.966113,3.3983513
57.722101,-42.478104,-15.243996
59.745077,-27.070359,-32.674718
56.548158,-9.4532037,-47.094954
46.822279,9.2752647,-56.097544
32.365233,27.302113,-59.667346
15.319351,43.033473,-58.352824
-3.0095419,53.703058,-50.693516
