IsLa [A],IsLb [A],IsLc [A]
22.381413,-59.793656,37.412243
39.294989,-60.997812,21.702823
52.329915,-55.707568,3.3776525
60.993925,-44.19367,-16.800255
63.774153,-28.639478,-35.134675
60.223332,-10.87251,-49.350822
50.055909,8.8442779,-58.900187
35.375233,27.63138,-63.006613
18.534684,43.00959,-61.544274
-0.23809294,54.067819,-53.829726
-19.76854,60.603495,-40.834955
-36.963432,61.677894,-24.714462
-50.117759,56.518338,-6.4005789
-58.5268,44.947163,13.579637
-61.10534,29.29186,31.81348
-57.735298,11.542759,46.192538
-47.832169,-7.8571044,55.689274
-33.323725,-26.516927,59.840652
-16.455757,-42.037908,58.493665
2.1649004,-53.17319,51.008289
21.580158,-59.706987,38.126828
38.710593,-60.712493,22.0019
51.87576,-55.608432,3.7326724
60.045074,-44.052958,-15.992116
62.514269,-28.462091,-34.052178
59.209362,-10.776124,-48.433238
49.361634,8.3775169,-57.739151
34.862333,27.009867,-61.8722
17.96234,42.597683,-60.560023
-0.59253273,53.778439,-53.185906
-20.047165,60.236213,-40.189048
-37.212919,61.165586,-23.952668
-50.443771,56.120658,-5.6768877
-58.394636,44.532388,13.862248
-60.812571,28.935051,31.87752
-57.546462,11.242313,46.304149
-47.865616,-7.6891144,55.554731
-33.454035,-26.286314,59.740349
-16.600136,-41.857082,58.457218
1.9132435,-53.130192,51.216948
21.240983,-59.528503,38.28752
38.323425,-60.425918,22.102493
51.528587,-55.373298,3.8447113
59.276016,-43.817922,-15.458093
61.676139,-28.293692,-33.382448
58.391181,-10.656218,-47.734964
48.769903,8.1206382,-56.890542
34.346296,26.714257,-61.060553
17.531633,42.272596,-59.804229
-1.0061309,53.618195,-52.612064
-20.299965,59.899261,-39.599296
-37.411602,60.775045,-23.363442
-50.593362,55.691155,-5.0977931
-58.183138,44.156949,14.026189
-60.581478,28.608488,31.97299
-57.28455,11.024246,46.260304
-47.777327,-7.6656967,55.443024
-33.395343,-26.214025,59.609367
-16.639702,-41.760118,58.39982
1.9139482,-53.173595,51.259646
21.068932,-59.359575,38.290643
38.145361,-60.242243,22.096882
51.227369,-55.085968,3.8585993
58.707537,-43.617994,-15.089543
61.085022,-28.096951,-32.988071
57.758629,-10.609974,-47.148655
48.288849,8.0457002,-56.334549
33.913347,26.534684,-60.448031
17.19052,42.114986,-59.305505
-1.4066798,53.551431,-52.144751
-20.489676,59.626956,-39.13728
-37.611311,60.502766,-22.891454
-50.577585,55.280983,-4.7033986
-58.010351,43.852105,14.158246
-60.348226,28.303674,32.044552
-57.026582,10.89301,46.133572
-47.612862,-7.7657095,55.378572
-33.288735,-26.169119,59.457854
-16.577441,-41.808629,58.38607
2.0236326,-53.23379,51.210158
20.994483,-59.24579,38.251307
38.094719,-60.097676,22.002957
50.920039,-54.815829,3.8957901
58.329293,-43.43098,-14.898313
60.604325,-27.919885,-32.68444
57.29443,-10.57725,-46.71718
