IsLa [A],IsLb [A],IsLc [A]
21.148448,-59.249297,38.100849
38.033207,-59.847193,21.813985
50.661794,-54.555366,3.8935723
57.733704,-43.229072,-14.504633
60.057858,-28.016151,-32.041707
57.087018,-10.242229,-46.844789
47.535139,8.4478896,-55.983029
33.122301,26.813909,-59.93621
15.689213,43.073937,-58.76315
-2.704066,53.854687,-51.150621
-21.152402,59.243271,-38.090869
-37.9281,59.814685,-21.886586
-50.636546,54.574675,-3.9381291
-57.684741,43.22575,14.45899
-60.039735,28.034576,32.005159
-57.055854,10.1737,46.882154
-47.48544,-8.4944076,55.979848
-33.061926,-26.904362,59.966288
-15.681063,-43.05567,58.736733
2.6894358,-53.856026,51.16659
21.136762,-59.218739,38.081977
37.82483,-59.788958,21.964128
50.614043,-54.580838,3.9667948
57.629111,-43.225309,-14.403802
60.036301,-28.032719,-32.003583
57.015529,-10.102904,-46.912625
47.446616,8.5482364,-55.994852
32.990618,26.995291,-59.985909
15.699651,43.018724,-58.718374
-2.6901507,53.870475,-51.180324
-21.092042,59.174737,-38.082695
-37.736512,59.773715,-22.037203
-50.585358,54.57221,-3.9868513
-57.577928,43.230649,14.34728
-60.042538,28.011694,32.030844
-56.975523,10.043968,46.931555
-47.414947,-8.6161161,56.031063
-32.9229,-27.064075,59.986975
-15.736146,-42.976273,58.712419
2.6934821,-53.881921,51.188438
21.015711,-59.113266,38.097555
37.667259,-59.765756,22.098497
50.543248,-54.551507,4.0082586
57.544769,-43.238657,-14.306112
60.045717,-27.965485,-32.080232
56.938667,-9.9980428,-46.940624
47.381037,8.7030112,-56.084048
32.867907,27.098738,-59.966645
15.773476,42.945148,-58.718623
-2.6924487,53.881572,-51.189123
-20.921382,59.046433,-38.125051
-37.617608,59.759664,-22.142056
-50.487054,54.523449,-4.0363945
-57.537465,43.243499,14.293966
-60.037785,27.901729,32.136056
-56.914587,9.9628863,46.951701
-47.341341,-8.799825,56.141166
-32.834441,-27.09895,59.933391
-15.798404,-42.932154,58.730559
2.6769103,-53.859407,51.182497
20.823698,-58.986996,38.163297
37.578262,-59.747353,22.169091
50.422648,-54.497861,4.0752123
57.552569,-43.240554,-14.312015
60.019184,-27.838043,-32.181141
56.906098,-9.9255973,-46.980501
47.299861,8.886856,-56.186717
32.822963,27.075807,-59.898771
15.809491,42.929455,-58.738946
-2.6404228,53.811304,-51.170881
-20.736441,58.942734,-38.206293
-37.540474,59.72266,-22.182186
-50.364243,54.480746,-4.1165026
-57.585598,43.217548,14.36805
-59.999637,27.783843,32.215794
-56.903541,9.8710904,47.032451
-47.254528,-8.9551925,56.20972
-32.825367,-27.046673,59.872041
-15.809406,-42.929342,58.738749
2.5792815,-53.744476,51.165194
20.668613,-58.918329,38.249716
37.489951,-59.685818,22.195867
50.324884,-54.47442,4.1495356
57.62186,-43.175164,-14.446696
59.983445,-27.739418,-32.244026
56.897791,-9.7953303,-47.10246
47.209667,8.997493,-56.20716
32.836396,27.023073,-59.859469
15.809528,42.916976,-58.726504
-2.4997377,53.672382,-51.172644
-20.622948,58.906829,-38.283881
-37.421007,59.642805,-22.221798
-50.315027,54.474641,-4.1596148
-57.648876,43.118701,14.530175
-59.977126,27.697737,32.279389
-56.888687,9.7141056,47.174582
-47.175193,-9.0095744,56.184768
-32.848817,-27.011237,59.860053
-15.818348,-42.882711,58.70106
2.4134209,-53.605992,51.192571
20.602902,-58.900688,38.297787
37.345593,-59.602351,22.256758
50.341007,-54.471656,4.1306495
