IsLa [A],IsLb [A],IsLc [A]
52.737572,-87.113446,34.375874
72.515164,-81.771369,9.2562049
85.179194,-67.070574,-18.10862
90.487474,-45.007109,-45.480365
87.422034,-19.497145,-67.924888
74.933588,7.5323308,-82.465919
54.226468,34.870783,-89.097251
29.380752,58.709588,-88.090341
3.3627541,75.407462,-78.770216
-23.80065,84.905171,-61.104521
-49.666491,87.445556,-37.779065
-69.682762,81.88346,-12.200698
-82.385557,67.32291,15.062648
-87.340658,45.208301,42.132358
-83.902039,19.686153,64.215886
-71.629886,-7.2107737,78.84066
-51.305054,-34.201501,85.506555
-26.800502,-57.765058,84.56556
-0.77861451,-74.663488,75.442103
26.227727,-84.369232,58.141505
51.953729,-86.902622,34.948893
71.841742,-81.263376,9.421634
84.547888,-66.706053,-17.841835
89.172869,-44.60516,-44.56771
85.523148,-19.193043,-66.330105
73.283397,7.6510156,-80.934413
53.088918,34.387398,-87.476316
28.558558,57.989688,-86.548245
2.5696584,74.989337,-77.558996
-24.483006,84.855188,-60.372182
-50.178804,87.176638,-36.997833
-70.051791,81.417779,-11.365987
-82.729154,66.782212,15.946942
-87.01127,44.750443,42.260827
-83.277711,19.339418,63.938293
-71.073001,-7.3885562,78.461557
-51.112562,-33.960817,85.07338
-26.743758,-57.503457,84.247215
-0.87380682,-74.524166,75.397973
26.268666,-84.546798,58.278132
51.651038,-86.703743,35.052705
71.426156,-80.875534,9.4493789
83.995854,-66.164881,-17.830973
88.027024,-44.188377,-43.838647
84.244354,-18.849248,-65.395106
72.049746,7.7148961,-79.764642
52.096936,34.344129,-86.441065
27.795457,57.808633,-85.604091
1.8896386,74.994682,-76.88432
-25.291636,85.019227,-59.727592
-50.538086,86.944698,-36.406612
-70.290951,80.949343,-10.658392
-82.662569,66.20658,16.455989
-86.567045,44.187909,42.379136
-82.711874,18.935145,63.776729
-70.592593,-7.5535205,78.146113
-50.741973,-34.183108,84.925081
-26.642265,-57.508809,84.151074
-0.62289731,-74.852923,75.47582
26.418888,-84.788825,58.369938
51.531093,-86.590445,35.059352
71.081048,-80.422182,9.3411337
83.295299,-65.652569,-17.64273
87.114697,-43.577855,-43.536841
83.218522,-18.521701,-64.696821
71.121883,8.0226409,-79.144523
51.372318,34.516343,-85.888662
27.272481,57.904016,-85.176498
1.1457807,75.320907,-76.466688
-25.775715,85.148767,-59.373053
-50.8931,86.772462,-35.879362
-70.223448,80.416236,-10.192788
-82.373919,65.575142,16.798777
-86.072959,43.506021,42.566938
-82.199886,18.529633,63.670253
-70.166475,-8.0359543,78.202429
-50.59662,-34.372552,84.969172
-26.457914,-57.855266,84.31318
-0.35812986,-75.212714,75.570844
26.57041,-84.986341,58.415931
51.506924,-86.427203,34.920279
70.630809,-79.955259,9.3244509
82.707088,-65.011527,-17.695561
86.301197,-43.032611,-43.268585
82.530398,-18.084335,-64.446062
70.589658,8.3475453,-78.937203
51.035178,34.737795,-85.772973
26.796059,58.249338,-85.045397
0.72411963,75.543462,-76.267582
-26.283117,85.24942,-58.966303
-50.99185,86.420627,-35.428777
-70.101247,79.904789,-9.8035413
-82.016387,64.904626,17.111761
-85.603053,42.955072,42.647981
-81.907367,17.999605,63.907762
-70.132627,-8.2681741,78.400801
-50.531708,-34.802028,85.333736
-26.285618,-58.188883,84.474501
-0.18325315,-75.459463,75.642716
26.801717,-85.045842,58.244125
51.315201,-86.049019,34.733818
70.378199,-79.48955,9.1113515
82.121563,-64.497388,-17.624175
85.780073,-42.51982,-43.260253
82.144487,-17.697087,-64.4474
70.493664,8.5784324,-79.072097
50.816421,35.164426,-85.980847
26.521418,58.465332,-84.98675
