IsLa [A],IsLb [A],IsLc [A]
53.508805,-86.786379,33.277574
73.020687,-81.124099,8.1034123
85.058389,-66.139461,-18.918927
89.588766,-43.836236,-45.75253
86.330667,-18.371565,-67.959101
73.785662,8.5788188,-82.364481
52.921494,35.767557,-88.689051
27.800716,59.649624,-87.45034
1.6032768,76.48568,-78.088957
-25.400192,85.528331,-60.128139
-50.773116,87.161467,-36.388351
-70.431265,81.155608,-10.724343
-82.535667,66.289823,16.245844
-86.782865,43.899627,42.883238
-83.176937,18.363413,64.813524
-70.841196,-8.5868702,79.428066
-50.337995,-35.485954,85.823949
-25.42679,-59.119429,84.546219
0.88373067,-76.165138,75.281408
27.717562,-85.344362,57.6268
52.950653,-86.898197,33.947544
72.512491,-80.747307,8.2348155
84.712526,-65.89783,-18.814696
88.686931,-43.457383,-45.229548
84.881032,-17.92825,-66.952783
72.556701,9.1178417,-81.674543
52.16965,35.77051,-87.94016
27.124343,59.397979,-86.522323
0.75559028,76.499806,-77.255397
-26.070333,85.755024,-59.684691
-51.246793,87.06263,-35.815837
-70.77435,80.762315,-9.9879652
-83.078132,65.889258,17.188874
-86.795737,43.532587,43.26315
-82.908668,17.945931,64.962737
-70.635882,-9.1008927,79.736774
-50.478372,-35.568268,86.04664
-25.527782,-59.081051,84.608833
0.78533668,-76.163337,75.378
27.695479,-85.559847,57.864368
52.591935,-86.708933,34.116998
72.096376,-80.36184,8.2654639
84.410106,-65.446662,-18.963445
87.95704,-43.141422,-44.815619
83.992745,-17.512513,-66.480232
71.740301,9.4596159,-81.199917
51.548745,35.958559,-87.507304
26.568646,59.319288,-85.887934
0.23238259,76.460093,-76.692476
-26.755494,85.887864,-59.13237
-51.490621,86.819188,-35.328567
-71.059268,80.377369,-9.3181015
-83.28942,65.475863,17.813557
-86.779636,43.162618,43.617019
-82.704315,17.520848,65.183467
-70.540954,-9.370623,79.911577
-50.393524,-35.902137,86.295661
-25.56495,-59.028592,84.593541
0.85867777,-76.265119,75.406442
27.764248,-85.655268,57.89102
52.39679,-86.545881,34.149091
71.898297,-80.006949,8.1086527
84.072041,-65.129715,-18.942326
87.53335,-42.750858,-44.782492
83.360301,-17.208884,-66.151417
71.184148,9.7611352,-80.945283
51.051114,36.204452,-87.255566
26.225865,59.261226,-85.487092
-0.30946717,76.541801,-76.232334
-27.108892,85.84884,-58.739948
-51.808616,86.669641,-34.861024
-71.17989,80.013156,-8.8332662
-83.394244,65.121836,18.272408
-86.787294,42.748439,44.038855
-82.54367,17.252103,65.291567
-70.351488,-9.810432,80.16192
-50.35391,-36.061576,86.415486
-25.539885,-59.144191,84.684076
0.9783372,-76.345839,75.367502
27.792523,-85.674007,57.881484
52.438236,-86.445348,34.007111
71.669362,-79.72134,8.0519781
83.943419,-64.768802,-19.174617
87.229045,-42.475581,-44.753465
82.984199,-16.972497,-66.011702
70.754894,10.08121,-80.836104
50.775423,36.292557,-87.06798
25.882003,59.40371,-85.285713
-0.57447536,76.504805,-75.930329
-27.515939,85.873222,-58.357283
-52.017965,86.477486,-34.459521
-71.26505,79.747126,-8.4820766
-83.528193,64.766028,18.762165
-86.759867,42.512081,44.247786
-82.4851,16.954871,65.53023
-70.288762,-9.9792101,80.267972
-50.283372,-36.286638,86.57001
-25.417981,-59.2736,84.691581
1.0228474,-76.375297,75.352449
28.020507,-85.754238,57.733732
52.377778,-86.277122,33.899343
71.658899,-79.528948,7.8700498
83.829191,-64.557786,-19.271405
87.08077,-42.270636,-44.810134
82.730725,-16.743338,-65.987386
70.576743,10.135443,-80.712186
50.493706,36.544482,-87.038188
25.65338,59.411688,-85.065068
-0.88899578,76.57235,-75.683355
-27.803002,85.851998,-58.048995
-52.169833,86.350012,-34.180179
-71.425003,79.545519,-8.1205156
-83.537569,64.593217,18.944353
-86.828894,42.246206,44.582689
-82.410179,16.799348,65.610832
-70.248007,-10.170335,80.418342
-50.18249,-36.500388,86.682878
-25.364169,-59.338898,84.703067
1.2439308,-76.499822,75.255891
28.052071,-85.708023,57.655952
52.495558,-86.246897,33.751339
71.621433,-79.390358,7.7689245
83.779127,-64.40269,-19.376437
87.030186,-42.073598,-44.956588
82.601371,-16.679537,-65.921835
70.372022,10.403241,-80.775263
50.347241,36.599241,-86.946482
25.453362,59.531682,-84.985044
-1.1065373,76.582873,-75.476336
-27.960346,85.803781,-57.843435
-52.411135,86.312554,-33.901419
-71.451991,79.415148,-7.9631566
-83.664081,64.377564,19.286517
-86.829979,42.115782,44.714197
-82.451633,16.683698,65.767936
-70.184827,-10.377678,80.562505
-50.149354,-36.56955,86.718904
-25.205219,-59.530571,84.735789
1.2560167,-76.474503,75.218487
28.237206,-85.760727,57.523522
52.559073,-86.190706,33.631633
71.628071,-79.307725,7.6796535
83.817194,-64.259771,-19.557424
86.953552,-42.020407,-44.933145
82.572239,-16.52779,-66.044449
70.315118,10.425576,-80.740694
50.188494,36.749961,-86.938455
25.251042,59.603532,-84.854574
-1.2010138,76.56687,-75.365856
-28.227191,85.854844,-57.627653
-52.475164,86.235523,-33.760359
-71.60198,79.332425,-7.730445
-83.695748,64.30441,19.391339
-86.871541,42.012082,44.859459
-82.429117,16.526247,65.902871
-70.202081,-10.385612,80.587693
-50.013033,-36.798904,86.811936
-25.133119,-59.541407,84.674525
1.4095525,-76.582212,75.172659
28.332854,-85.779613,57.446759
52.625239,-86.19768,33.572441
71.705174,-79.245902,7.5407278
83.768626,-64.247247,-19.521379
86.982031,-41.888172,-45.093859
82.490305,-16.469233,-66.021071
70.222544,10.550087,-80.772631
50.048313,36.871894,-86.920207
25.165856,59.627128,-84.792984
-1.4254189,76.675064,-75.249645
-28.257277,85.806049,-57.548772
-52.660627,86.274505,-33.613879
-71.629165,79.272644,-7.6434788
-83.754459,64.241896,19.512563
-86.920411,41.895595,45.024816
-82.424363,16.488051,65.936312
-70.092012,-10.62006,80.712073
-49.972249,-36.820403,86.792652
-25.042464,-59.681787,84.72425
1.4812223,-76.624604,75.143382
28.372103,-85.789343,57.417239
52.765532,-86.23711,33.471578
71.677401,-79.231713,7.5543117
83.85818,-64.151901,-19.70628
86.946151,-41.859378,-45.086773
82.494346,-16.392408,-66.101937
70.126904,10.665839,-80.792743
49.989127,36.893596,-86.882722
25.018787,59.784957,-84.803744
-1.4205477,76.645078,-75.22453
-28.431725,85.869241,-57.437516
-52.713921,86.230215,-33.516294
-71.700648,79.272124,-7.5714758
-83.842172,64.177502,19.66467
-86.909416,41.879643,45.029773
-82.442955,16.346398,66.096556
-70.102771,-10.59359,80.696361
-49.892143,-36.963136,86.855279
-24.95899,-59.747472,84.706461
1.4945341,-76.648123,75.153589
28.527245,-85.867437,57.340191
52.745077,-86.197972,33.452895
71.803989,-79.241927,7.4379381
83.849942,-64.171488,-19.678454
86.967221,-41.801528,-45.165692
82.44368,-16.293802,-66.149878
70.134427,10.627588,-80.762015
49.878475,37.060645,-86.93912
24.998432,59.766258,-84.76469
-1.5646156,76.74174,-75.177125
-28.486426,85.873802,-57.387375
-52.773285,86.240002,-33.466717
-71.793185,79.249073,-7.4558878
-83.817808,64.199591,19.618217
-86.973712,41.767355,45.206357
-82.406853,16.316989,66.089864
-70.070952,-10.714881,80.785833
-49.860168,-37.023464,86.883632
-24.970114,-59.778957,84.749071
1.6350439,-76.748059,75.113015
28.48046,-85.839563,57.359103
52.872673,-86.25538,33.382707
71.788725,-79.229786,7.441061
83.878009,-64.138271,-19.739738
86.991097,-41.738437,-45.25266
82.440754,-16.295444,-66.14531
70.059877,10.806129,-80.866006
49.898515,37.003069,-86.901584
24.941026,59.882471,-84.823497
-1.5941755,76.746818,-75.152642
