IsLa[a],IsLb[A],IsLc[A]
-1.216667,1.208333,0.2416667
-1.045833,1.383333,-0.6541667
-0.75,1.254167,-1.104167
-0.275,1.1625,-1.345833
0.5875,0.9916667,-1.5
1.070833,0.675,-1.391667
1.320833,0.0625,-1.216667
1.4125,-0.8,-0.9625
1.270833,-1.120833,-0.5
1.170833,-1.308333,0.2416667
0.9208333,-1.329167,0.9416667
0.55,-1.283333,1.258333
-0.2416667,-1.108333,1.495833
-0.8625,-0.7916667,1.5
-1.208333,-0.3625,1.354167
-1.495833,0.4875,1.108333
-1.329167,1.008333,0.6666667
-1.195833,1.270833,0.0875
-1.033333,1.379167,-0.8
-0.7083333,1.2625,-1.216667
-0.05416667,1.154167,-1.4
0.8,0.9333333,-1.470833
1.141667,0.5416667,-1.379167
1.383333,-0.25,-1.166667
1.35,-0.9375,-0.7791667
1.233333,-1.1875,-0.3
1.070833,-1.375,0.6125
0.775,-1.2625,1.083333
0.3083333,-1.175,1.35
-0.5875,-0.9833333,1.5375
-1.0625,-0.6416667,1.425
-1.329167,-0.02083333,1.208333
-1.420833,0.8458333,0.9208333
-1.254167,1.170833,0.4541667
-1.116667,1.345833,-0.325
-0.8916667,1.3,-1.041667
-0.4875,1.233333,-1.2875
0.325,1.079167,-1.458333
0.9333333,0.7625,-1.4375
1.216667,0.3208333,-1.304167
1.466667,-0.5583333,-1.054167
1.3,-1.004167,-0.6375
1.175,-1.279167,-0.07083333
1.029167,-1.383333,0.7833333
0.725,-1.279167,1.179167
0.075,-1.15,1.425
-0.7458333,-0.9458333,1.525
-1.15,-0.5583333,1.416667
-1.395833,0.2125,1.2125
-1.383333,0.8916667,0.8125
-1.275,1.179167,0.3208333
-1.116667,1.370833,-0.5875
-0.8166667,1.2875,-1.066667
-0.3416667,1.208333,-1.333333
0.5541667,1.016667,-1.525
1.025,0.675,-1.4125
1.329167,0.0875,-1.216667
1.425,-0.7625,-0.95
1.266667,-1.145833,-0.5
1.120833,-1.345833,0.275
0.925,-1.291667,1.004167
0.5125,-1.245833,1.2875
-0.3125,-1.075,1.466667
-0.95,-0.7541667,1.4625
-1.229167,-0.2833333,1.316667
-1.466667,0.625,1.0375
-1.308333,1.054167,0.5791667
-1.166667,1.283333,-0.02083333
-0.9708333,1.375,-0.8708333
-0.6458333,1.245833,-1.216667
0.0,1.116667,-1.416667
0.8,0.8958333,-1.479167
1.179167,0.5125,-1.358333
1.383333,-0.25,-1.154167
1.3375,-0.9375,-0.8041667
1.229167,-1.204167,-0.3166667
1.108333,-1.375,0.5791667
0.8166667,-1.291667,1.05
0.35,-1.216667,1.325
-0.525,-1.025,1.554167
-0.9833333,-0.6875,1.470833
-1.304167,-0.09583333,1.25
-1.466667,0.7208333,0.9666667
-1.304167,1.116667,0.5416667
-1.15,1.345833,-0.225
-0.9458333,1.308333,-0.9625
-0.5583333,1.2375,-1.2875
0.2583333,1.104167,-1.458333
0.9416667,0.8083333,-1.425
1.229167,0.3375,-1.325
1.454167,-0.5666667,-1.0875
1.308333,-1.020833,-0.6416667
1.183333,-1.254167,-0.04583333
1.004167,-1.354167,0.8458333
0.6625,-1.266667,1.1875
0.008333333,-1.108333,1.408333
-0.7875,-0.8708333,1.508333
-1.166667,-0.4958333,1.379167
-1.420833,0.2833333,1.133333
-1.345833,0.9791667,0.75
-1.208333,1.2375,0.25
-1.058333,1.370833,-0.6666667
-0.7625,1.266667,-1.133333
-0.275,1.179167,-1.329167
0.6291667,1.0,-1.483333
1.041667,0.6583333,-1.404167
1.3125,0.05,-1.216667
1.441667,-0.7708333,-0.925
1.270833,-1.1,-0.5041667
1.141667,-1.358333,0.2458333
0.925,-1.329167,0.9416667
0.5666667,-1.258333,1.283333
-0.2333333,-1.116667,1.495833
-0.9,-0.8333333,1.475
-1.216667,-0.3416667,1.35
-1.458333,0.5416667,1.125
-1.345833,1.0,0.6666667
